,AirportCode,AirportName,Longitude,Latitude
0,KIWA,Phoenix-Mesa-Gateway Airport,-111.6554722,33.3078333
121,KMDT,Harrisburg International Airport,-76.763,40.19300000000001
243,KSAT,San Antonio International Airport,-98.47,29.534000000000002
251,KHRL,Valley International Airport,-97.654,26.228
347,KCSG,Columbus Metropolitan Airport,-84.9388611,32.5163333
380,KIAH,George Bush Intercontinental Houston Airport,-95.34,29.98
466,KELP,El Paso International Airport,-106.37799999999999,31.807
513,KDEN,Denver International Airport,-104.667,39.858000000000004
558,KSAN,San Diego International Airport,-117.189,32.733000000000004
602,KOAK,Metropolitan Oakland International Airport,-122.221,37.721
607,KBFL,Meadows Field,-119.057,35.433
727,KAEX,Alexandria International Airport,-92.54799999999999,31.326999999999998
856,KMIA,Miami International Airport,-80.291,25.79300000000001
1022,KORD,Chicago O'Hare International Airport,-87.904,41.979
1110,KMCI,Kansas City International Airport,-94.714,39.297
1181,KBFI,Boeing Field King County International Airport,-122.302,47.53
1377,KDAL,Dallas Love Field,-96.852,32.847
1701,KLAS,McCarran International Airport,-115.152,36.08
2009,KTOL,Toledo Express Airport,-83.807833,41.586806
2111,KLRD,Laredo International Airport,-99.461,27.544
2186,KATL,Hartsfield Jackson Atlanta International Airport,-84.427,33.64
2291,KRNO,Reno Tahoe International Airport,-119.76799999999999,39.49800000000001
2707,KMSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,-93.21700000000001,44.88
2764,KOMA,Eppley Airfield,-95.89399999999999,41.302
4830,KTWF,Joslin Field Magic Valley Regional Airport,-114.487778,42.481667
4858,KSLC,Salt Lake City International Airport,-111.978,40.788000000000004
8220,KONT,Ontario International Airport,-117.601,34.056
16738,KSMF,Sacramento International Airport,-121.59100000000001,38.695
23506,KPAE,Snohomish County (Paine Field) Airport,-122.281,47.90600000000001
24028,KCOS,City of Colorado Springs Municipal Airport,-104.7,38.806
27529,KBOS,General Edward Lawrence Logan International Airport,-71.005,42.364
31104,KCVG,Cincinnati Northern Kentucky International Airport,-84.662,39.046
67181,KCMH,Port Columbus International Airport,-82.89200000000002,39.99800000000001
69223,KDFW,Dallas Fort Worth International Airport,-97.037,32.896
70672,KBOI,Boise Air Terminal/Gowen field,-116.223,43.56399999999999
76922,KDTW,Detroit Metropolitan Wayne County Airport,-83.353,42.211999999999996
131733,MSLP,El Salvador International Airport,-89.056,13.440999999999999
166528,KTUS,Tucson International Airport,-110.941,32.116
189583,KIAG,Niagara Falls International Airport,-78.946,43.107
221348,KEWR,Newark Liberty International Airport,-74.169,40.692
227327,KBRO,Brownsville South Padre Island International Airport,-97.426,25.906999999999996
253448,KIAD,Washington Dulles International Airport,-77.456,38.944
272132,MGGT,La Aurora Airport,-90.52799999999999,14.583
283514,KJAX,Jacksonville International Airport,-81.688,30.494
317569,KTEB,Teterboro Airport,-74.061,40.85
370333,SEGU,Simon Bolivar International Airport,-79.884,-2.158
370443,EDDF,Frankfurt am Main International Airport,8.543,50.026
372753,KBUF,Buffalo Niagara International Airport,-78.732,42.94
415289,TJSJ,Luis Munoz Marin International Airport,-66.002,18.439
454360,KMWA,Williamson County Regional Airport,-89.011111,37.755
464491,MHLM,Ramon Villeda Morales International Airport,-87.92299999999999,15.452
631005,KNJK,El Centro Naf Airport,-115.67200000000001,32.829
675609,KGRK,Robert Gray  Army Air Field Airport,-97.829,31.066999999999997
679295,KAUS,Austin Bergstrom International Airport,-97.67,30.19400000000001
679430,TJBQ,Rafael Hernandez Airport,-67.12899999999999,18.495
681670,KCRP,Corpus Christi International Airport,-97.501,27.77
685427,KGYY,Gary Chicago International Airport,-87.412778,41.616389
722133,KYIP,Willow Run Airport,-83.53,42.238
746165,MKJP,Norman Manley International Airport,-76.78699999999998,17.936
757511,MTPP,Toussaint Louverture International Airport,-72.293,18.58
871488,KBED,Laurence G Hanscom Field,-71.289,42.47
904759,KSTL,Lambert St Louis International Airport,-90.36,38.74800000000001
923794,KSKF,Lackland Air Force Base (Kelly Field Annex) Airport,-98.581,29.384
941572,KNYL,Yuma MCAS/Yuma International Airport,-114.60611100000001,32.656667
943548,KROW,Roswell International Air Center Airport,-104.531,33.301
980050,KRIC,Richmond International Airport,-77.319,37.505
1042704,MMMD,Manuel Crescencio Rejón International Airport,-89.65700000000002,20.936999999999998
1116502,KOPF,Opa-Locka Executive Airport,-80.278,25.906999999999996
1195982,KCLT,Charlotte Douglas International Airport,-80.943,35.214
1226079,MDSD,Las Americas International Airport,-69.669,18.429000000000002
1230405,TIST,Cyril E. King Airport,-64.973,18.337
1305537,KSDM,Brown Field Municipal Airport,-116.980278,32.572222
1317906,KVCV,Southern California Logistics Airport,-117.37899999999999,34.593
1352155,KCHS,Charleston International Airport,-80.04,32.899
1360624,KYKM,Yakima Air Terminal,-120.54416699999999,46.568056
1367097,KABQ,Albuquerque International Sunport Airport,-106.610778,35.039333
1489880,KMEM,Memphis International Airport,-89.977,35.042
1506077,KFTW,Fort Worth Meacham International Airport,-97.36200000000001,32.82
1562671,KPSM,Portsmouth International Airport,-70.82333299999998,43.078056
1583828,KYNG,Youngston Warren Regional Airport,-80.679,41.261
1688383,KALB,Albany International Airport,-73.803,42.74800000000001
856,MHTG,Toncontín International Airport,-87.21700000000001,14.061
10960,MNMG,Augusto C. Sandino (Managua) International Airport,-86.16799999999998,12.140999999999998
13580,SKBO,El Dorado International Airport,-74.14699999999998,4.7010000000000005
16540,MUHA,Jose Marti International Airport ,-82.40899999999998,22.989
27047,KABI,Abilene Regional Airport,-99.682,32.411
95455,KBDL,Bradley International Airport,-72.683,41.93899999999999
102193,SBGR,Guarulhos–Governador André Franco Montoro International Airport ,-46.468999999999994,-23.432
131072,RJBB,Kansai International Airport,135.232778,34.434166999999995
143955,LPPD,João Paulo II Airport,-25.698,37.741
143957,BKPR,Pristina International Airport,21.035833,42.572778
