,MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
0,2010-10-01,GUATEMALA,R,KHRL,MGGT,67,1,0.0,0.0,0.0,0.0
1,2010-10-01,GUATEMALA,R,KIWA,MGGT,121,1,0.0,0.0,0.0,0.0
2,2010-10-01,GUATEMALA,R,KSAT,MGGT,37,1,0.0,0.0,0.0,0.0
3,2010-10-04,GUATEMALA,R,KMIA,MGGT,46,1,4.0,0.08695652173913043,0.0,0.0
4,2010-10-05,GUATEMALA,R,KELP,MGGT,23,1,0.0,0.0,0.0,0.0
5,2010-10-05,GUATEMALA,R,KIWA,MGGT,112,1,0.0,0.0,0.0,0.0
6,2010-10-06,GUATEMALA,R,KDAL,MGGT,14,1,0.0,0.0,0.0,0.0
7,2010-10-06,GUATEMALA,R,KIAH,MGGT,29,1,0.0,0.0,0.0,0.0
8,2010-10-07,GUATEMALA,R,KAEX,MGGT,127,1,0.0,0.0,0.0,0.0
9,2010-10-08,GUATEMALA,R,KHRL,MGGT,82,1,7.0,0.08536585365853659,0.0,0.0
10,2010-10-08,GUATEMALA,R,KIWA,MGGT,117,1,4.0,0.03418803418803419,0.0,0.0
11,2010-10-08,GUATEMALA,R,KSAT,MGGT,48,1,0.0,0.0,0.0,0.0
12,2010-10-12,GUATEMALA,R,KIWA,MGGT,86,1,3.0,0.03488372093023256,0.0,0.0
13,2010-10-13,GUATEMALA,R,KCSG,MGGT,56,1,1.0,0.017857142857142856,0.0,0.0
14,2010-10-13,GUATEMALA,R,KELP,MGGT,26,1,3.0,0.11538461538461539,0.0,0.0
15,2010-10-13,GUATEMALA,R,KIAH,MGGT,28,1,0.0,0.0,0.0,0.0
16,2010-10-13,GUATEMALA,R,KMIA,MGGT,40,1,1.0,0.025,0.0,0.0
17,2010-10-14,GUATEMALA,R,KAEX,MGGT,101,1,0.0,0.0,0.0,0.0
18,2010-10-14,GUATEMALA,R,KMIA,MGGT,30,1,0.0,0.0,0.0,0.0
19,2010-10-15,GUATEMALA,R,KHRL,MGGT,61,1,1.0,0.01639344262295082,0.0,0.0
20,2010-10-15,GUATEMALA,R,KIWA,MGGT,100,1,2.0,0.02,0.0,0.0
21,2010-10-15,GUATEMALA,R,KSAT,MGGT,4,1,0.0,0.0,0.0,0.0
22,2010-10-19,GUATEMALA,R,KDAL,MGGT,23,1,0.0,0.0,0.0,0.0
23,2010-10-19,GUATEMALA,R,KELP,MGGT,21,1,1.0,0.047619047619047616,0.0,0.0
24,2010-10-19,GUATEMALA,R,KIAH,MGGT,56,1,0.0,0.0,0.0,0.0
25,2010-10-19,GUATEMALA,R,KIWA,MGGT,83,1,2.0,0.024096385542168676,0.0,0.0
26,2010-10-19,GUATEMALA,R,KMIA,MGGT,26,1,0.0,0.0,0.0,0.0
27,2010-10-21,GUATEMALA,R,KAEX,MGGT,114,1,0.0,0.0,0.0,0.0
28,2010-10-22,GUATEMALA,R,KHRL,MGGT,61,1,3.0,0.04918032786885246,0.0,0.0
29,2010-10-22,GUATEMALA,R,KIWA,MGGT,119,1,4.0,0.03361344537815126,0.0,0.0
30,2010-10-22,GUATEMALA,R,KSAT,MGGT,73,1,0.0,0.0,0.0,0.0
31,2010-10-26,GUATEMALA,R,KIWA,MGGT,92,1,0.0,0.0,0.0,0.0
32,2010-10-27,GUATEMALA,R,KCSG,MGGT,68,1,0.0,0.0,0.0,0.0
33,2010-10-27,GUATEMALA,R,KELP,MGGT,29,1,1.0,0.034482758620689655,0.0,0.0
34,2010-10-27,GUATEMALA,R,KMIA,MGGT,41,1,0.0,0.0,0.0,0.0
35,2010-10-28,GUATEMALA,R,KAEX,MGGT,108,1,1.0,0.009259259259259259,0.0,0.0
36,2010-10-28,GUATEMALA,R,KHRL,MGGT,76,1,0.0,0.0,0.0,0.0
37,2010-10-28,GUATEMALA,R,KSAT,MGGT,8,1,0.0,0.0,0.0,0.0
38,2010-10-29,GUATEMALA,R,KIWA,MGGT,113,1,0.0,0.0,0.0,0.0
39,2010-11-02,GUATEMALA,R,KIWA,MGGT,125,1,0.0,0.0,0.0,0.0
40,2010-11-03,GUATEMALA,R,KDAL,MGGT,17,1,0.0,0.0,0.0,0.0
41,2010-11-03,GUATEMALA,R,KIAH,MGGT,31,1,0.0,0.0,0.0,0.0
42,2010-11-03,GUATEMALA,R,KMIA,MGGT,40,1,1.0,0.025,0.0,0.0
43,2010-11-04,GUATEMALA,R,KAEX,MGGT,117,1,0.0,0.0,0.0,0.0
44,2010-11-05,GUATEMALA,R,KHRL,MGGT,63,1,3.0,0.047619047619047616,0.0,0.0
45,2010-11-05,GUATEMALA,R,KIWA,MGGT,77,1,0.0,0.0,0.0,0.0
46,2010-11-05,GUATEMALA,R,KSAT,MGGT,11,1,1.0,0.09090909090909091,0.0,0.0
