MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
2010-10-06,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,0.0,0.0
2010-10-13,GUATEMALA,T,KBFI,KIAH,18,1,0.0,0.0,0.0,0.0
2010-10-27,GUATEMALA,T,KBFI,KIWA,21,1,0.0,0.0,0.0,0.0
2010-11-03,GUATEMALA,T,KBFI,KIWA,4,1,0.0,0.0,0.0,0.0
2010-11-17,GUATEMALA,T,KBFI,KIWA,23,1,0.0,0.0,13.0,56.52173913043478
2010-12-08,GUATEMALA,T,KBFI,KIWA,22,1,0.0,0.0,16.0,72.72727272727273
2010-12-15,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,1.0,33.33333333333333
2011-01-12,GUATEMALA,T,KBFI,KIWA,15,1,0.0,0.0,5.0,33.33333333333333
2011-02-02,GUATEMALA,T,KBFI,KIWA,24,1,0.0,0.0,5.0,20.833333333333336
2011-02-12,GUATEMALA,T,KBFI,KIWA,16,1,0.0,0.0,5.0,31.25
2011-02-26,GUATEMALA,T,KBFI,KSAN,16,1,0.0,0.0,4.0,25.0
2011-03-02,GUATEMALA,T,KBFI,KIWA,1,1,0.0,0.0,1.0,100.0
2011-03-12,GUATEMALA,T,KBFI,KIWA,15,1,0.0,0.0,10.0,66.66666666666666
2011-04-06,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,2.0,66.66666666666666
2011-04-09,GUATEMALA,T,KBFI,KSAN,15,1,0.0,0.0,8.0,53.333333333333336
2011-04-20,GUATEMALA,T,KBFI,KIWA,13,1,0.0,0.0,6.0,46.15384615384615
2011-05-11,GUATEMALA,T,KBFI,KIWA,18,1,0.0,0.0,9.0,50.0
2011-05-18,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,6.0,60.0
2011-05-25,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,5.0,71.42857142857143
2011-06-08,GUATEMALA,T,KBFI,KIWA,23,1,0.0,0.0,10.0,43.47826086956522
2011-06-25,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,4.0,57.14285714285714
2011-06-29,GUATEMALA,T,KBFI,KIWA,9,1,0.0,0.0,2.0,22.22222222222222
2011-07-13,GUATEMALA,T,KBFI,KIWA,13,1,0.0,0.0,3.0,23.076923076923077
2011-07-16,GUATEMALA,T,KBFI,KSAN,1,1,0.0,0.0,0.0,0.0
2011-08-03,GUATEMALA,T,KBFI,KIWA,20,1,1.0,0.05,4.0,20.0
2011-08-10,GUATEMALA,T,KBFI,KIWA,14,1,0.0,0.0,6.0,42.857142857142854
2011-08-17,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,2.0,33.33333333333333
2011-08-31,GUATEMALA,T,KBFI,KIWA,9,1,0.0,0.0,2.0,22.22222222222222
2011-09-07,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,4.0,40.0
2011-09-14,GUATEMALA,T,KBFI,KIWA,4,1,0.0,0.0,2.0,50.0
2011-09-28,GUATEMALA,T,KBFI,KIWA,14,1,0.0,0.0,5.0,35.714285714285715
2011-10-05,GUATEMALA,T,KBFI,KIWA,9,1,0.0,0.0,3.0,33.33333333333333
2011-10-12,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,4.0,40.0
2011-10-19,GUATEMALA,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2011-10-26,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,2.0,20.0
2011-11-07,GUATEMALA,T,KBFI,KSAN,1,1,0.0,0.0,0.0,0.0
2011-11-09,GUATEMALA,T,KBFI,KIWA,12,1,0.0,0.0,5.0,41.66666666666667
