,MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
0,2010-10-28,JAMAICA,R,KAEX,MKJP,73,1,False,0.0,0.0,0.0
1,2010-11-18,JAMAICA,R,KAEX,MKJP,56,1,False,0.0,2.0,3.571428571428571
2,2010-12-30,JAMAICA,R,KAEX,MKJP,72,1,False,0.0,3.0,4.166666666666666
3,2011-01-27,JAMAICA,R,KAEX,MKJP,74,1,False,0.0,4.0,5.405405405405405
4,2011-02-28,JAMAICA,R,KAEX,MKJP,90,1,True,0.011111111111111112,7.0,7.777777777777778
5,2011-03-31,JAMAICA,R,KAEX,MKJP,74,1,False,0.0,6.0,8.108108108108109
6,2011-04-28,JAMAICA,R,KAEX,MKJP,68,1,False,0.0,1.0,1.4705882352941175
7,2011-05-26,JAMAICA,R,KAEX,MKJP,56,1,False,0.0,1.0,1.7857142857142856
8,2011-05-26,JAMAICA,R,KMIA,MKJP,19,1,False,0.0,3.0,15.789473684210526
9,2011-06-30,JAMAICA,R,KAEX,MKJP,74,1,False,0.0,3.0,4.054054054054054
10,2011-07-28,JAMAICA,R,KAEX,MKJP,75,1,False,0.0,3.0,4.0
11,2011-08-25,JAMAICA,R,KAEX,MKJP,71,1,False,0.0,0.0,0.0
12,2011-09-29,JAMAICA,R,KAEX,MKJP,75,1,False,0.0,4.0,5.333333333333334
13,2011-10-27,JAMAICA,R,KAEX,MKJP,67,1,False,0.0,4.0,5.970149253731343
14,2011-11-17,JAMAICA,R,KAEX,MKJP,71,1,False,0.0,5.0,7.042253521126761
15,2011-12-22,JAMAICA,R,KAEX,MKJP,75,1,False,0.0,2.0,2.666666666666667
16,2012-01-26,JAMAICA,R,KAEX,MKJP,75,1,False,0.0,0.0,0.0
17,2012-02-23,JAMAICA,R,KAEX,MKJP,75,1,False,0.0,2.0,2.666666666666667
18,2012-03-29,JAMAICA,R,KAEX,MKJP,62,1,False,0.0,1.0,1.6129032258064515
