MissionDate,MissionID,PULOC,DropLoc,AlienMasterID,MissionID
2010-10-02,137,KBFI,KIWA,1,1
2010-10-02,137,KBFI,KSAN,53,1
2010-10-02,137,KIWA,KBFI,26,1
2010-10-06,117,KBFI,KHRL,18,1
2010-10-06,117,KBFI,KIWA,28,1
2010-10-06,117,KIWA,KBFI,1,1
2010-10-09,128,KBFI,KSAN,63,1
2010-10-09,128,KIWA,KBFI,17,1
2010-10-13,172,KBFI,KHRL,27,1
2010-10-13,172,KBFI,KIAH,21,1
2010-10-16,194,KBFI,KIWA,1,1
2010-10-16,194,KBFI,KSAN,47,1
2010-10-16,194,KIWA,KBFI,49,1
2010-10-23,230,KBFI,KIWA,1,1
2010-10-23,230,KBFI,KSAN,99,1
2010-10-23,230,KIWA,KBFI,2,1
2010-10-27,258,KBFI,KHRL,20,1
2010-10-27,258,KBFI,KIWA,44,1
2010-10-27,258,KIWA,KBFI,1,1
2010-10-30,268,KBFI,KSAN,92,1
2010-10-30,268,KIWA,KBFI,4,1
2010-11-03,283,KBFI,KHRL,47,1
2010-11-03,283,KBFI,KIWA,4,1
2010-11-03,283,KIWA,KBFI,1,1
2010-11-06,293,KBFI,KSAN,79,1
2010-11-06,293,KIWA,KBFI,1,1
2010-11-10,319,KBFI,KHRL,46,1
2010-11-10,319,KBFI,KIWA,5,1
2010-11-13,323,KBFI,KSAN,77,1
2010-11-17,370,KBFI,KHRL,18,1
2010-11-17,370,KBFI,KIWA,23,1
2010-11-17,370,KIWA,KBFI,2,1
2010-11-20,380,KBFI,KIWA,7,1
2010-11-20,380,KBFI,KSAN,75,1
2010-11-27,408,KBFI,KSAN,98,1
2010-11-27,408,KIWA,KBFI,10,1
2010-12-01,426,KBFI,KHRL,15,1
2010-12-01,426,KBFI,KIWA,17,1
2010-12-04,429,KBFI,KSAN,94,1
2010-12-08,463,KBFI,KHRL,20,1
2010-12-08,463,KBFI,KIWA,23,1
2010-12-11,465,KBFI,KSAN,104,1
2010-12-11,465,KIWA,KBFI,4,1
2010-12-15,500,KBFI,KELP,1,1
2010-12-15,500,KBFI,KHRL,16,1
2010-12-15,500,KBFI,KIWA,10,1
2010-12-20,558,KBFI,KIWA,2,1
2010-12-20,558,KBFI,KSAN,131,1
2010-12-22,535,KBFI,KHRL,52,1
2010-12-22,535,KBFI,KIWA,12,1
2010-12-29,568,KBFI,KHRL,47,1
2011-01-05,597,KBFI,KHRL,75,1
2011-01-08,600,KBFI,KIWA,1,1
2011-01-08,600,KBFI,KSAN,74,1
2011-01-12,637,KBFI,KHRL,72,1
2011-01-12,637,KBFI,KIWA,30,1
2011-01-12,637,KIWA,KBFI,1,1
2011-01-15,640,KBFI,KSAN,103,1
2011-01-15,640,KIWA,KBFI,3,1
2011-01-19,674,KBFI,KHRL,40,1
2011-01-19,674,KBFI,KIWA,4,1
2011-01-21,677,KBFI,KIWA,2,1
2011-01-21,677,KBFI,KSAN,114,1
2011-01-21,677,KIWA,KBFI,1,1
2011-01-26,714,KBFI,KIWA,61,1
2011-01-29,717,KBFI,KSAN,117,1
2011-02-02,755,KBFI,KHRL,31,1
2011-02-02,755,KBFI,KIWA,42,1
2011-02-05,765,KBFI,KSAN,92,1
2011-02-09,797,KBFI,KHRL,59,1
2011-02-09,797,KBFI,KIWA,1,1
2011-02-12,800,KBFI,KIWA,24,1
2011-02-12,800,KBFI,KSAN,70,1
2011-02-12,800,KIWA,KBFI,1,1
2011-02-16,840,KBFI,KHRL,40,1
2011-02-16,840,KBFI,KIWA,3,1
2011-02-19,843,KBFI,KIWA,2,1
2011-02-19,843,KBFI,KSAN,85,1
2011-02-26,885,KBFI,KSAN,96,1
2011-02-26,885,KIWA,KBFI,11,1
2011-03-02,924,KBFI,KHRL,40,1
2011-03-02,924,KBFI,KIWA,12,1
2011-03-02,924,KIWA,KBFI,10,1
2011-03-05,944,KBFI,KSAN,71,1
2011-03-09,962,KBFI,KHRL,32,1
2011-03-09,962,KBFI,KIWA,2,1
2011-03-10,975,KOAK,KBFI,9,1
2011-03-12,973,KBFI,KIWA,15,1
2011-03-12,973,KBFI,KSAN,94,1
2011-03-16,1002,KBFI,KHRL,47,1
2011-03-16,1002,KBFI,KIWA,12,1
2011-03-19,1023,KBFI,KSAN,78,1
2011-03-23,1031,KOAK,KBFI,3,1
2011-03-23,1036,KBFI,KHRL,56,1
2011-03-26,1059,KBFI,KSAN,78,1
2011-03-30,1081,KBFI,KHRL,30,1
2011-03-30,1081,KBFI,KIWA,12,1
2011-03-30,1081,KIWA,KBFI,12,1
2011-04-02,1103,KBFI,KSAN,76,1
2011-04-06,1125,KBFI,KHRL,40,1
2011-04-06,1125,KBFI,KIWA,3,1
2011-04-06,1125,KIWA,KBFI,14,1
2011-04-09,1184,KBFI,KSAN,80,1
2011-04-13,1162,KBFI,KHRL,29,1
2011-04-13,1162,KBFI,KIWA,21,1
2011-04-13,1162,KIWA,KBFI,4,1
2011-04-16,1182,KBFI,KIWA,1,1
2011-04-16,1182,KBFI,KSAN,81,1
2011-04-20,1202,KBFI,KHRL,54,1
2011-04-20,1202,KBFI,KIWA,15,1
2011-04-20,1202,KIWA,KBFI,3,1
2011-04-23,1216,KBFI,KIWA,1,1
2011-04-23,1216,KBFI,KSAN,55,1
2011-04-27,1238,KBFI,KHRL,42,1
2011-04-27,1238,KBFI,KIWA,2,1
2011-04-27,1238,KIWA,KBFI,1,1
2011-04-30,1278,KBFI,KSAN,64,1
