,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID
CountryOfCitizenship,ARGENTINA,BULGARIA,CAMBODIA,CHINA,COLOMBIA,DOMINICAN REPUBLIC,ECUADOR,EL SALVADOR,GUATEMALA,HONDURAS,INDIA,JAMAICA,MEXICO,NICARAGUA,RWANDA,TAIWAN,VIETNAM,AFGHANISTAN,NIGERIA,PERU,PHILIPPINES,RUSSIA,QATAR,HONG KONG,CANADA,LIBERIA,SOMALIA,SUDAN,UKRAINE,MOROCCO,UNITED KINGDOM,SIERRA LEONE,CAMEROON,FIJI,GHANA,THAILAND,BOSNIA,BRAZIL,CUBA,ERITREA,IRAQ,ROMANIA,BELIZE,ALGERIA,BANGLADESH,COTE D'IVORIE (IVORY COAST),ETHIOPIA,GUINEA,HAITI,MALI,PAKISTAN,SRI LANKA,COSTA RICA,IRAN,LEBANON,SENEGAL,CONGO,MOLDOVA,BURKINA FASO,FEDERATED STATES OF MICRONESIA,SAMOA,GAMBIA,UNKNOWN,EGYPT,KENYA,NEPAL
FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,1.0,1.0,2.0,7.0,6.0,3.0,28.0,183.0,381.0,178.0,1.0,3.0,5818.0,13.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-01,,,,1.0,3.0,7.0,14.0,216.0,635.0,225.0,3.0,2.0,4540.0,12.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,,,1.0,,4.0,,11.0,476.0,478.0,428.0,,1.0,3368.0,16.0,,,,,,,,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,1.0,1.0,23.0,,6.0,3.0,18.0,656.0,325.0,213.0,3.0,2.0,2683.0,14.0,,,,,,,,,,,,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,1.0,,5.0,1.0,5.0,7.0,24.0,307.0,278.0,194.0,2.0,,1875.0,23.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,57.0,2.0,1.0,8.0,38.0,406.0,549.0,275.0,8.0,2.0,1654.0,14.0,,,2.0,,1.0,1.0,,,,2.0,1.0,,6.0,,6.0,,,,1.0,,6.0,1.0,,1.0,4.0,17.0,,,,1.0,2.0,1.0,4.0,22.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,14.0,1.0,2.0,3.0,,,,,
2016-10-01,,,2.0,2.0,16.0,2.0,22.0,209.0,273.0,211.0,3.0,2.0,2189.0,11.0,,,2.0,2.0,,,1.0,,,,1.0,2.0,3.0,,3.0,,,,,,3.0,,,,,,2.0,,,,,,,,421.0,1.0,,,,,,3.0,,,,,,2.0,2.0,,,
2017-10-01,,,19.0,1.0,8.0,3.0,14.0,168.0,377.0,236.0,10.0,2.0,2551.0,10.0,,,3.0,3.0,,1.0,,2.0,,,,,16.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,4.0,37.0,,3.0,,,,,1.0,,1.0,,,2.0,3.0,,1.0,2.0,1.0
