,PULOC,FY,R-T,air2_AirportName,AlienMasterID,MissionID
0,KBFI,2010-10-01,R,Phoenix-Mesa-Gateway Airport,51,1
1,KBFI,2010-10-01,R,San Diego International Airport,3827,49
2,KBFI,2010-10-01,R,Valley International Airport,1931,48
3,KBFI,2010-10-01,R,Beijing Capital International Airport,6,1
4,KBFI,2010-10-01,T,El Paso International Airport,2,2
5,KBFI,2010-10-01,T,George Bush Intercontinental Houston Airport,21,1
6,KBFI,2010-10-01,T,Phoenix-Mesa-Gateway Airport,747,61
7,KBFI,2010-10-01,T,San Diego International Airport,43,7
8,KBFI,2010-10-01,T,Valley International Airport,1,1
9,KBFI,2011-10-01,R,La Aurora Airport,114,1
10,KBFI,2011-10-01,R,Phoenix-Mesa-Gateway Airport,2,2
11,KBFI,2011-10-01,R,San Diego International Airport,3477,47
12,KBFI,2011-10-01,R,Valley International Airport,1045,23
13,KBFI,2011-10-01,T,El Paso International Airport,27,8
14,KBFI,2011-10-01,T,Phoenix-Mesa-Gateway Airport,985,53
15,KBFI,2011-10-01,T,San Diego International Airport,8,6
16,KBFI,2011-10-01,T,Valley International Airport,6,4
17,KBFI,2012-10-01,R,El Paso International Airport,7,3
18,KBFI,2012-10-01,R,Phoenix-Mesa-Gateway Airport,57,6
19,KBFI,2012-10-01,R,San Antonio International Airport,26,1
20,KBFI,2012-10-01,R,San Diego International Airport,2021,32
21,KBFI,2012-10-01,R,Valley International Airport,152,4
22,KBFI,2012-10-01,R,Yuma MCAS/Yuma International Airport,23,1
23,KBFI,2012-10-01,R,El Centro Naf Airport,174,5
24,KBFI,2012-10-01,T,El Paso International Airport,1042,28
25,KBFI,2012-10-01,T,Phoenix-Mesa-Gateway Airport,1282,47
26,KBFI,2012-10-01,T,San Antonio International Airport,1,1
27,KBFI,2012-10-01,T,San Diego International Airport,7,5
28,KBFI,2012-10-01,T,Valley International Airport,4,2
29,KBFI,2012-10-01,T,El Centro Naf Airport,1,1
30,KBFI,2013-10-01,R,El Paso International Airport,80,13
31,KBFI,2013-10-01,R,El Salvador International Airport,97,1
32,KBFI,2013-10-01,R,Phoenix-Mesa-Gateway Airport,465,42
33,KBFI,2013-10-01,R,Brownsville South Padre Island International Airport,14,1
34,KBFI,2013-10-01,T,Alexandria International Airport,2,1
35,KBFI,2013-10-01,T,El Paso International Airport,2010,42
36,KBFI,2013-10-01,T,McCarran International Airport,1,1
37,KBFI,2013-10-01,T,Miami International Airport,1,1
38,KBFI,2013-10-01,T,Phoenix-Mesa-Gateway Airport,1179,47
39,KBFI,2013-10-01,T,San Antonio International Airport,106,3
40,KBFI,2014-10-01,R,El Paso International Airport,27,5
41,KBFI,2014-10-01,R,Phoenix-Mesa-Gateway Airport,283,26
42,KBFI,2014-10-01,R,Brownsville South Padre Island International Airport,3,1
43,KBFI,2014-10-01,T,Alexandria International Airport,73,2
44,KBFI,2014-10-01,T,El Paso International Airport,1492,28
45,KBFI,2014-10-01,T,Meadows Field,23,3
46,KBFI,2014-10-01,T,Phoenix-Mesa-Gateway Airport,797,29
47,KBFI,2014-10-01,T,Brownsville South Padre Island International Airport,34,2
48,KBFI,2015-10-01,R,Phoenix-Mesa-Gateway Airport,206,37
49,KBFI,2015-10-01,R,San Diego International Airport,19,4
50,KBFI,2015-10-01,T,Alexandria International Airport,101,1
51,KBFI,2015-10-01,T,El Paso International Airport,1384,44
52,KBFI,2015-10-01,T,Phoenix-Mesa-Gateway Airport,1414,45
53,KBFI,2015-10-01,T,San Diego International Airport,5,4
54,KBFI,2016-10-01,R,Phoenix-Mesa-Gateway Airport,206,39
55,KBFI,2016-10-01,R,San Diego International Airport,200,8
56,KBFI,2016-10-01,T,Alexandria International Airport,207,2
57,KBFI,2016-10-01,T,El Paso International Airport,1716,40
58,KBFI,2016-10-01,T,Phoenix-Mesa-Gateway Airport,1060,51
59,KBFI,2016-10-01,T,San Diego International Airport,1,1
60,KBFI,2017-10-01,R,El Paso International Airport,907,19
61,KBFI,2017-10-01,R,Phoenix-Mesa-Gateway Airport,124,33
62,KBFI,2017-10-01,R,San Diego International Airport,44,1
63,KBFI,2017-10-01,T,El Paso International Airport,1492,35
64,KBFI,2017-10-01,T,Phoenix-Mesa-Gateway Airport,907,51
65,KBFI,2017-10-01,T,Brownsville South Padre Island International Airport,21,1
66,KBFI,2018-10-01,R,El Paso International Airport,421,9
67,KBFI,2018-10-01,R,Phoenix-Mesa-Gateway Airport,31,1
68,KBFI,2018-10-01,T,El Paso International Airport,5,1
69,KBFI,2018-10-01,T,Phoenix-Mesa-Gateway Airport,195,10
