CountryOfCitizenship,Nationality as percent of dataset,Nationality as percent of KBFI
AFGHANISTAN,0.00011797937629748954,0.00024165777231810218
ALBANIA,0.0002495717575523817,0.00018124332923857663
ALGERIA,2.212113305577929e-05,6.0414443079525545e-05
AMERICAN SAMOA,5.672085398917766e-07,0.0
ANGOLA,4.594389173123391e-05,4.027629538635036e-05
ANTIGUA & BARBUDA,7.940919558484873e-06,0.0
ARGENTINA,9.018615784279249e-05,0.00014096703385222626
ARMENIA,0.000159952808249481,0.0006846970215679561
ARUBA,5.672085398917766e-07,0.0
AUSTRALIA,6.239293938809543e-06,0.0
AUSTRIA,5.672085398917766e-06,0.0
AZERBAIJAN,1.3045796417510861e-05,2.013814769317518e-05
BAHAMAS,9.755986886138558e-05,0.0
BAHRAIN,2.836042699458883e-06,0.0
BANGLADESH,0.0015825118262980567,0.001872847735465292
BARBADOS,3.006205261426416e-05,0.0
BELARUS,1.1344170797835532e-05,0.0
BELGIUM,1.1344170797835532e-06,0.0
BELIZE,0.00014010050935326884,0.000221519624624927
BENIN,6.806502478701319e-06,0.0
BERMUDA,3.970459779242436e-06,0.0
BHUTAN,1.7016256196753299e-06,0.0
BOLIVIA,0.00011571054213792243,0.0001006907384658759
BOSNIA,5.2183185670043445e-05,4.027629538635036e-05
BOTSWANA,1.7016256196753299e-06,0.0
BRAZIL,0.0011253417431452849,0.0016916044062267152
BRITISH VIRGIN ISLANDS,3.970459779242436e-06,0.0
BULGARIA,3.6301346553073704e-05,8.055259077270072e-05
BURKINA FASO,5.955689668863655e-05,0.0001006907384658759
BURMA,5.672085398917766e-05,0.0
BURUNDI,1.3613004957402639e-05,2.013814769317518e-05
CAMBODIA,0.0013595988701205885,0.004551221378657591
CAMEROON,0.0006636339916733787,0.002779064381658175
CANADA,0.00019511973772277116,0.00036248665847715325
CAPE VERDE,5.2750394209935225e-05,0.0
CAYMAN ISLANDS,1.1344170797835532e-06,0.0
CENTRAL AFRICAN REPUBLIC,6.806502478701319e-06,2.013814769317518e-05
CHAD,1.2478587877619086e-05,0.0
CHILE,5.558643690939411e-05,2.013814769317518e-05
CHINA,0.002529182879377432,0.008760094246531205
COLOMBIA,0.008235867999228597,0.001872847735465292
CONGO,4.707830881101746e-05,6.0414443079525545e-05
COSTA RICA,0.00014180213497294415,0.000221519624624927
COTE D'IVORIE (IVORY COAST),8.73501151433336e-05,4.027629538635036e-05
CROATIA,5.672085398917766e-06,0.0
