,2010-10-01,2011-10-01,2012-10-01,2013-10-01,2014-10-01,2015-10-01,2016-10-01,2017-10-01,2018-10-01
11,,,0.08292682926829269,0.03795620437956204,0.04153354632587859,0.008888888888888889,0.04433497536945813,0.01581395348837209,0.01991150442477876
12,,,0.3024390243902439,0.05693430656934306,0.009584664536741214,,,,
16,,0.00021561017680034498,0.3394308943089431,0.3722627737226277,0.34185303514376997,0.28888888888888886,0.3497536945812808,0.23627906976744187,0.26991150442477874
1A,0.21994840928632847,0.19685209141871496,0.056910569105691054,0.12116788321167883,0.09584664536741214,0.0044444444444444444,,,
1B,,,0.004471544715447155,0.010218978102189781,0.006389776357827476,,,,
2A,,,,,0.006389776357827476,0.017777777777777778,0.012315270935960592,0.01581395348837209,0.008849557522123894
2B,,,,,,,,0.0009302325581395349,
3,,,0.00934959349593496,,0.006389776357827476,0.04,0.0665024630541872,0.07162790697674419,0.05088495575221239
5A,,,,0.00145985401459854,,,,,
5B,,,0.0065040650406504065,0.00583941605839416,,,,,
5C,,,,,0.003194888178913738,,,,
5D,,,,,,,,0.0009302325581395349,
5E,,,,,,,,,0.0022123893805309734
8A,,,,0.004379562043795621,,0.0044444444444444444,0.009852216748768473,0.017674418604651163,0.008849557522123894
8B,,,,,0.01597444089456869,0.013333333333333334,0.027093596059113302,0.05116279069767442,0.02654867256637168
8C,,,0.00934959349593496,0.14014598540145987,0.23003194888178913,0.28888888888888886,0.42857142857142855,0.4223255813953488,0.4269911504424779
8D,,,,,,,0.0024630541871921183,0.0037209302325581397,0.004424778761061947
8E,,,0.0008130081300813008,,,0.022222222222222223,0.009852216748768473,0.011162790697674419,0.011061946902654867
8F,,,0.012195121951219513,0.1591240875912409,0.16932907348242812,0.06666666666666667,0.007389162561576354,0.01581395348837209,0.035398230088495575
8G,,,,0.030656934306569343,0.01597444089456869,0.24,0.03940886699507389,0.11069767441860465,0.1261061946902655
8H,,,,,,,,0.0009302325581395349,0.0022123893805309734
8I,,,,,,0.0044444444444444444,0.0024630541871921183,0.021395348837209303,0.00663716814159292
9,,,0.06300813008130081,0.05401459854014599,0.05750798722044728,,,0.0037209302325581397,
all_others,0.7800515907136716,0.8029322984044847,0.11260162601626016,0.00583941605839416,0.0,0.0,0.0,0.0,0.0
