,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID
CountryOfCitizenship,COLOMBIA,DOMINICAN REPUBLIC,ECUADOR,EL SALVADOR,GUATEMALA,HAITI,HONDURAS,JAMAICA,MEXICO,NICARAGUA,SERRA LEONE,CANADA,GHANA,LIBERIA,NIGER,NIGERIA,TRINIDAD & TOBAGO,UGANDA,SIERRA LEONE,CAMBODIA,GUYANA,SOMALIA,VENEZUELA,UNITED KINGDOM,ARGENTINA,CUBA,PERU,YEMEN,BANGLADESH,BOSNIA,CHINA,CZECH REPUBLIC,FRANCE,GAMBIA,GERMANY,INDIA,KENYA,MALI,NEPAL,PHILIPPINES,SRI LANKA,TAIWAN,VIETNAM,SENEGAL,GREENLAND,ALBANIA,ZIMBABWE,ZAMBIA,UNITED STATES OF AMERICA,BOTSWANA,ALGERIA,ARMENIA,BOLIVIA,BRAZIL,CAMEROON,EGYPT,ETHIOPIA,GUINEA,IRAQ,ISRAEL,ITALY,PAKISTAN,PORTUGAL,SPAIN,TURKEY,BAHAMAS,BELIZE,LEBANON,DEMOCRATIC REPUBLIC OF CONGO,DOMINICA,BARBADOS,BULGARIA,COTE D'IVORIE (IVORY COAST),ERITREA,JORDAN,LAOS,POLAND,ROMANIA,RUSSIA,SOUTH KOREA,SUDAN,UZBEKISTAN,AFGHANISTAN,MAURITANIA,GREECE,LITHUANIA,GEORGIA,HUNGARY,BELARUS,MOLDOVA,ST. LUCIA,BURKINA FASO,ANTIGUA & BARBUDA,UKRAINE,UNKNOWN,ESTONIA,MOROCCO,IRELAND,AUSTRIA,MACAU,SOUTH SUDAN
FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,46.0,17.0,3.0,730.0,1744.0,13.0,1436.0,25.0,11538.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-01,142.0,154.0,21.0,1086.0,1647.0,47.0,1366.0,69.0,9691.0,48.0,,1.0,1.0,3.0,3.0,7.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,98.0,126.0,30.0,894.0,1063.0,23.0,1230.0,76.0,5631.0,43.0,,1.0,1.0,4.0,,,,,6.0,4.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,82.0,69.0,55.0,1115.0,761.0,26.0,953.0,68.0,2471.0,62.0,,1.0,,3.0,,,,,3.0,,,,,,1.0,4.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,159.0,159.0,95.0,1341.0,841.0,31.0,782.0,97.0,4665.0,47.0,,,1.0,4.0,,30.0,1.0,,4.0,1.0,3.0,1.0,,1.0,,2.0,,,4.0,1.0,11.0,2.0,2.0,1.0,1.0,22.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,169.0,181.0,48.0,1017.0,892.0,40.0,759.0,124.0,4721.0,62.0,,,4.0,5.0,,11.0,2.0,,1.0,7.0,,,1.0,,1.0,2.0,,,,,,,,1.0,,6.0,,,2.0,2.0,,,,1.0,,1.0,,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,143.0,123.0,47.0,1036.0,1511.0,463.0,1362.0,81.0,5236.0,60.0,,,43.0,12.0,2.0,9.0,3.0,,5.0,4.0,1.0,37.0,1.0,,,3.0,1.0,,7.0,3.0,16.0,1.0,,15.0,,17.0,1.0,2.0,5.0,1.0,1.0,,7.0,29.0,,,1.0,1.0,,,,1.0,,1.0,2.0,2.0,3.0,8.0,5.0,,1.0,12.0,,1.0,,1.0,,,3.0,,1.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,
2017-10-01,107.0,118.0,17.0,612.0,1284.0,69.0,1211.0,96.0,5436.0,38.0,,,18.0,4.0,,8.0,,,1.0,9.0,,9.0,,,,7.0,2.0,,2.0,,1.0,3.0,,18.0,,20.0,6.0,1.0,7.0,,,,41.0,2.0,,,,1.0,,,,,,,2.0,2.0,,5.0,33.0,1.0,,12.0,,,,,1.0,1.0,2.0,,,,1.0,1.0,3.0,,,2.0,3.0,,1.0,,1.0,,,,1.0,,,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
