CountryOfCitizenship,Nationality as percent of dataset,Nationality as percent of KCSG
AFGHANISTAN,0.00012004905850948705,0.00010036801605888258
ALBANIA,0.00025279561359209293,0.00021188803390208543
ALGERIA,2.250919847052882e-05,1.1152001784320285e-05
AMERICAN SAMOA,5.771589351417647e-07,0.0
ANGOLA,4.674987374648294e-05,1.1152001784320285e-05
ANTIGUA & BARBUDA,8.080225091984706e-06,2.230400356864057e-05
ARGENTINA,9.176827068754059e-05,3.345600535296086e-05
ARMENIA,0.00016275881970997765,0.00041262406601985056
ARUBA,5.771589351417647e-07,0.0
AUSTRALIA,6.348748286559411e-06,0.0
AUSTRIA,5.7715893514176465e-06,1.1152001784320285e-05
AZERBAIJAN,1.3274655508260587e-05,0.0
BAHAMAS,9.927133684438353e-05,0.00010036801605888258
BAHRAIN,2.8857946757088232e-06,0.0
BANGLADESH,0.0016096962701103816,0.0008140961302553809
BARBADOS,2.8857946757088232e-05,1.1152001784320285e-05
BELARUS,1.1543178702835293e-05,3.345600535296086e-05
BELGIUM,1.1543178702835294e-06,0.0
BELIZE,0.00014255825698001587,8.921601427456228e-05
BENIN,6.925907221701176e-06,0.0
BERMUDA,4.040112545992353e-06,0.0
BHUTAN,1.731476805425294e-06,0.0
BOLIVIA,0.00011716326383377823,0.00010036801605888258
BOSNIA,5.2521463097900584e-05,4.460800713728114e-05
BOTSWANA,1.731476805425294e-06,1.1152001784320285e-05
BRAZIL,0.0011445061683861193,0.0009925281588045055
BRITISH VIRGIN ISLANDS,4.040112545992353e-06,1.1152001784320285e-05
BULGARIA,3.693817184907294e-05,2.230400356864057e-05
BURKINA FASO,6.060168818988529e-05,0.00011152001784320286
BURMA,5.7715893514176465e-05,0.0
BURUNDI,1.3851814443402353e-05,0.0
CAMBODIA,0.00138344996753481,0.0005129920820787331
CAMEROON,0.0006752759541158647,0.000702576112412178
CANADA,0.00019854267368876706,4.460800713728114e-05
CAPE VERDE,5.3675780968184114e-05,0.0
CAYMAN ISLANDS,1.1543178702835294e-06,0.0
CENTRAL AFRICAN REPUBLIC,6.925907221701176e-06,0.0
CHAD,1.2697496573118822e-05,0.0
CHILE,5.5984416708751176e-05,2.230400356864057e-05
CHINA,0.0025712430560565617,0.0029887364781978364
COLOMBIA,0.008380347738258423,0.011230065796810528
CONGO,4.790419161676647e-05,2.230400356864057e-05
COSTA RICA,0.00014428973378544116,0.00012267201962752315
COTE D'IVORIE (IVORY COAST),8.888247601183175e-05,5.576000892160143e-05
CROATIA,5.7715893514176465e-06,0.0
CUBA,0.002111247384748575,0.0010817441730790677
CYPRUS,5.771589351417647e-07,0.0
CYPRUSS,4.6172714811341175e-06,0.0
CZECH REPUBLIC,4.674987374648294e-05,6.691201070592172e-05
