,KAEX,KBFI,KBFL,KBRO,KELP,KHRL,KIAH,KIWA,KLAS,KMIA,KNJK,KNYL,KSAN,KSAT,MGGT,MSLP,ZBAA
FY2011-pickups,,,,,1.0,326.0,21.0,178.0,,,,,1012.0,,,,
FY2012-pickups,,,,,1.0,2125.0,,798.0,,,,,3600.0,,,,6.0
FY2013-pickups,,,,,393.0,611.0,,964.0,,,,,3320.0,,114.0,,
FY2014-pickups,,,,14.0,1272.0,77.0,,1564.0,,,175.0,23.0,1451.0,27.0,,,
FY2015-pickups,2.0,,,,1897.0,,,1496.0,1.0,1.0,,,,106.0,,97.0,
FY2016-pickups,73.0,,23.0,37.0,1438.0,,,1280.0,,,,,1.0,,,,
FY2017-pickups,236.0,,,,1184.0,,,1539.0,,,,,219.0,,,,
FY2018-pickups,72.0,,,,2204.0,,,1181.0,,,,,5.0,,,,
FY2011-removals,,,,,,326.0,,,,,,,1012.0,,,,
FY2012-removals,,,,,,2123.0,,51.0,,,,,3555.0,,,,6.0
FY2013-removals,,,,,6.0,606.0,,2.0,,,,,3312.0,,114.0,,
FY2014-removals,,,,14.0,17.0,73.0,,185.0,,,174.0,23.0,1446.0,26.0,,,
FY2015-removals,,29.0,,,67.0,,,407.0,,,,,,,,97.0,
FY2016-removals,,,,3.0,24.0,,,265.0,,,,,,,,,
FY2017-removals,,,,,,,,252.0,,,,,214.0,,,,
FY2018-removals,,,,,59.0,,,146.0,,,,,5.0,,,,
