,MissionYear,R-T,air2_Country,air2_AirportName,AlienMasterID,MissionID
6,2010,R,USA,Valley International Airport,13741,153
5,2010,R,USA,San Diego International Airport,4294,64
2,2010,R,USA,Laredo International Airport,3062,37
3,2010,R,USA,Ontario International Airport,306,5
4,2010,R,USA,Phoenix-Mesa-Gateway Airport,197,6
0,2010,R,USA,Alexandria International Airport,20,1
1,2010,R,USA,El Paso International Airport,1,1
36,2011,R,USA,Valley International Airport,54576,610
35,2011,R,USA,San Diego International Airport,18217,281
31,2011,R,USA,Laredo International Airport,15243,173
40,2011,R,Mexico,Licenciado Benito Juarez International Airport,8786,78
37,2011,R,USA,Yuma MCAS/Yuma International Airport,8358,111
30,2011,R,USA,El Paso International Airport,1357,69
39,2011,R,USA,Tucson International Airport,1167,17
32,2011,R,USA,Ontario International Airport,867,14
33,2011,R,USA,Phoenix-Mesa-Gateway Airport,686,23
29,2011,R,USA,Alexandria International Airport,314,6
34,2011,R,USA,San Antonio International Airport,135,2
38,2011,R,USA,Homestead ARB Airport,111,2
82,2012,R,USA,Valley International Airport,54959,635
81,2012,R,USA,San Diego International Airport,17955,306
83,2012,R,USA,Yuma MCAS/Yuma International Airport,16722,134
84,2012,R,USA,El Centro Naf Airport,11432,100
76,2012,R,USA,Laredo International Airport,9772,133
85,2012,R,Mexico,Licenciado Benito Juarez International Airport,2364,18
80,2012,R,USA,Phoenix-Mesa-Gateway Airport,557,30
79,2012,R,USA,Ontario International Airport,300,6
75,2012,R,USA,El Paso International Airport,164,51
74,2012,R,USA,Alexandria International Airport,111,3
77,2012,R,USA,Meadows Field,34,3
78,2012,R,USA,Metropolitan Oakland International Airport,9,2
121,2013,R,USA,Valley International Airport,23099,315
120,2013,R,USA,San Diego International Airport,9047,191
124,2013,R,USA,El Centro Naf Airport,8918,84
125,2013,R,Mexico,Licenciado Benito Juarez International Airport,6326,47
115,2013,R,USA,Laredo International Airport,6077,76
122,2013,R,USA,Yuma MCAS/Yuma International Airport,3978,34
123,2013,R,USA,Brownsville South Padre Island International Airport,3397,50
118,2013,R,USA,Phoenix-Mesa-Gateway Airport,648,48
113,2013,R,USA,Alexandria International Airport,221,8
119,2013,R,USA,San Antonio International Airport,171,4
114,2013,R,USA,El Paso International Airport,91,23
116,2013,R,USA,McCarran International Airport,19,1
117,2013,R,USA,Meadows Field,8,1
160,2014,R,USA,Brownsville South Padre Island International Airport,17174,267
162,2014,R,Mexico,Licenciado Benito Juarez International Airport,12928,96
156,2014,R,USA,Laredo International Airport,3873,60
159,2014,R,USA,San Diego International Airport,2095,78
157,2014,R,USA,Phoenix-Mesa-Gateway Airport,1072,120
155,2014,R,USA,El Paso International Airport,245,35
158,2014,R,USA,San Antonio International Airport,122,4
153,2014,R,USA,Alexandria International Airport,58,8
161,2014,R,USA,Gary Chicago International Airport,31,1
154,2014,R,USA,Boeing Field King County International Airport,11,1
200,2015,R,Mexico,Licenciado Benito Juarez International Airport,13337,99
199,2015,R,USA,Brownsville South Padre Island International Airport,8849,168
197,2015,R,USA,San Diego International Airport,1697,53
194,2015,R,USA,Laredo International Airport,1692,35
195,2015,R,USA,Phoenix-Mesa-Gateway Airport,980,80
193,2015,R,USA,El Paso International Airport,259,10
198,2015,R,USA,Valley International Airport,131,1
196,2015,R,USA,San Antonio International Airport,85,1
234,2016,R,Mexico,Licenciado Benito Juarez International Airport,14840,111
233,2016,R,USA,Brownsville South Padre Island International Airport,7792,155
232,2016,R,USA,San Diego International Airport,2300,55
230,2016,R,USA,Laredo International Airport,1639,43
231,2016,R,USA,Phoenix-Mesa-Gateway Airport,1094,87
229,2016,R,USA,El Paso International Airport,43,8
228,2016,R,El Salvador,El Salvador International Airport,1,1
273,2017,R,Mexico,Licenciado Benito Juarez International Airport,18820,143
272,2017,R,USA,Brownsville South Padre Island International Airport,10514,179
268,2017,R,USA,Laredo International Airport,2141,47
270,2017,R,USA,Phoenix-Mesa-Gateway Airport,1832,99
271,2017,R,USA,San Diego International Airport,1313,48
267,2017,R,USA,El Paso International Airport,206,14
269,2017,R,USA,Ontario International Airport,62,2
266,2017,R,USA,Alexandria International Airport,6,2
314,2018,R,USA,Brownsville South Padre Island International Airport,15296,217
315,2018,R,Mexico,Licenciado Benito Juarez International Airport,8183,61
308,2018,R,USA,El Paso International Airport,3038,52
310,2018,R,USA,Laredo International Airport,2542,45
312,2018,R,USA,Phoenix-Mesa-Gateway Airport,1208,50
313,2018,R,USA,San Diego International Airport,766,35
311,2018,R,USA,Ontario International Airport,21,1
307,2018,R,USA,Alexandria International Airport,11,7
306,2018,R,Honduras,Ramon Villeda Morales International Airport,2,1
305,2018,R,Guatemala,La Aurora Airport,1,1
309,2018,R,USA,Kansas City International Airport,1,1
