air2_AirportName,AlienMasterID,MissionID
Valley International Airport,146486,2876
Licenciado Benito Juarez International Airport,85584,654
Brownsville South Padre Island International Airport,63022,1952
San Diego International Airport,57683,1814
Laredo International Airport,46041,1053
Yuma MCAS/Yuma International Airport,29058,280
El Centro Naf Airport,20350,192
Phoenix-Mesa-Gateway Airport,8274,882
El Paso International Airport,5404,327
Ontario International Airport,1556,51
Tucson International Airport,1167,17
Alexandria International Airport,741,35
San Antonio International Airport,513,16
Homestead ARB Airport,111,2
Meadows Field,42,4
Gary Chicago International Airport,31,1
McCarran International Airport,19,1
Boeing Field King County International Airport,11,1
Metropolitan Oakland International Airport,9,2
Ramon Villeda Morales International Airport,2,1
