,MissionYear,R-T,air2_Country,air2_AirportName,AlienMasterID,MissionID
18,2010,T,USA,Phoenix-Mesa-Gateway Airport,803,71
9,2010,T,USA,El Paso International Airport,423,40
7,2010,T,USA,Alexandria International Airport,205,10
20,2010,T,USA,San Antonio International Airport,148,6
21,2010,T,USA,San Diego International Airport,67,21
22,2010,T,USA,Valley International Airport,65,5
19,2010,T,USA,Salt Lake City International Airport,62,9
10,2010,T,USA,George Bush Intercontinental Houston Airport,59,3
15,2010,T,USA,Metropolitan Oakland International Airport,49,18
8,2010,T,USA,Boeing Field King County International Airport,44,4
28,2010,T,USA,Dallas Love Field,34,1
14,2010,T,USA,Meadows Field,15,8
16,2010,T,USA,Miami International Airport,7,3
26,2010,T,USA,Austin Bergstrom International Airport,3,1
11,2010,T,USA,Harrisburg International Airport,2,1
17,2010,T,USA,Ontario International Airport,2,1
27,2010,T,USA,Chicago O'Hare International Airport,2,2
12,2010,T,USA,Kansas City International Airport,1,1
13,2010,T,USA,McCarran International Airport,1,1
23,2010,T,USA,Abilene Regional Airport,1,1
24,2010,T,USA,Denver International Airport,1,1
25,2010,T,USA,Eppley Airfield,1,1
53,2011,T,USA,Phoenix-Mesa-Gateway Airport,3905,326
43,2011,T,USA,El Paso International Airport,2600,155
56,2011,T,USA,San Diego International Airport,416,107
41,2011,T,USA,Alexandria International Airport,370,45
54,2011,T,USA,Salt Lake City International Airport,347,34
42,2011,T,USA,Boeing Field King County International Airport,313,35
55,2011,T,USA,San Antonio International Airport,313,12
44,2011,T,USA,George Bush Intercontinental Houston Airport,182,7
58,2011,T,USA,Valley International Airport,171,18
50,2011,T,USA,Metropolitan Oakland International Airport,152,84
49,2011,T,USA,Meadows Field,126,33
59,2011,T,USA,Abilene Regional Airport,122,4
48,2011,T,USA,McCarran International Airport,90,25
69,2011,T,USA,Hartsfield Jackson Atlanta International Airport,77,2
65,2011,T,USA,Dallas Love Field,76,3
