MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
2010-12-15,MEXICO,T,KBFI,KELP,1,1,0.0,0.0,0.0,0.0
2011-04-23,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2011-05-25,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2011-06-01,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2011-06-08,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,1.0,100.0
2011-06-15,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2011-07-30,MEXICO,T,KBFI,KIWA,2,1,0.0,0.0,0.0,0.0
2011-08-03,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2011-11-07,MEXICO,T,KBFI,KIWA,2,1,0.0,0.0,0.0,0.0
2012-04-18,MEXICO,T,KBFI,KELP,5,1,0.0,0.0,0.0,0.0
2012-08-15,MEXICO,T,KBFI,KSAN,1,1,0.0,0.0,0.0,0.0
2012-09-26,MEXICO,T,KBFI,KELP,8,1,0.0,0.0,4.0,50.0
2012-10-03,MEXICO,T,KBFI,KELP,20,1,0.0,0.0,5.0,25.0
2012-10-11,MEXICO,T,KBFI,KELP,34,1,0.0,0.0,11.0,32.35294117647059
2012-10-17,MEXICO,T,KBFI,KELP,38,1,0.0,0.0,14.0,36.84210526315789
2012-10-24,MEXICO,T,KBFI,KELP,39,1,0.0,0.0,6.0,15.384615384615385
2012-10-31,MEXICO,T,KBFI,KELP,67,1,0.0,0.0,13.0,19.402985074626866
2012-11-07,MEXICO,T,KBFI,KELP,62,1,0.0,0.0,11.0,17.741935483870968
2012-11-14,MEXICO,T,KBFI,KELP,55,1,0.0,0.0,12.0,21.818181818181817
2012-11-21,MEXICO,T,KBFI,KELP,7,1,0.0,0.0,1.0,14.285714285714285
2012-11-21,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2012-11-28,MEXICO,T,KBFI,KSAN,1,1,0.0,0.0,1.0,100.0
2012-12-05,MEXICO,T,KBFI,KSAN,1,1,0.0,0.0,0.0,0.0
2013-02-06,MEXICO,T,KBFI,KSAN,1,1,0.0,0.0,0.0,0.0
2013-04-22,MEXICO,T,KBFI,KSAN,1,1,0.0,0.0,1.0,100.0
2013-06-17,MEXICO,T,KBFI,KNJK,1,1,0.0,0.0,1.0,100.0
