,MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
0,2012-04-15,SOMALIA,R,KAEX,HKJK,9,1,False,0.0,9.0,100.0
1,2012-11-17,SOMALIA,R,KAEX,HKJK,10,1,False,0.0,1.0,10.0
2,2014-06-03,SOMALIA,R,KMIA,HKJK,2,1,False,0.0,2.0,100.0
3,2017-01-24,SOMALIA,R,KAEX,HCMM,90,1,False,0.0,60.0,66.66666666666666
4,2017-03-09,SOMALIA,R,KAEX,HCMM,68,1,False,0.0,56.0,82.35294117647058
5,2017-05-11,SOMALIA,R,KAEX,HCMM,67,1,False,0.0,47.0,70.1492537313433
6,2017-05-25,SOMALIA,R,KIWA,HCMM,50,1,False,0.0,21.0,42.0
7,2017-07-27,SOMALIA,R,KAEX,HCMM,67,1,False,0.0,19.0,28.35820895522388
8,2018-03-29,SOMALIA,R,KELP,HCMM,68,1,False,0.0,25.0,36.76470588235294
9,2018-06-28,SOMALIA,R,KAEX,HCMM,83,1,False,0.0,28.0,33.734939759036145
10,2018-11-29,SOMALIA,R,KELP,HCMM,66,1,False,0.0,17.0,25.757575757575758
