|AirportID|AirportName|City|Country|DropLoc_count|ICAO|PULOC_count|StateAbbr|StateID
727|35.0|Alexandria International Airport|Alexandria|USA||KAEX|1.0|LA|20.0
2186|36.0|Hartsfield Jackson Atlanta International Airport|Atlanta|USA||KATL|1.0|GA|11.0
1181|39.0|Boeing Field King County International Airport|Seattle|USA||KBFI|1.0|WA|51.0
607|40.0|Meadows Field|Bakersfield|USA||KBFL|1.0|CA|5.0
347|51.0|Columbus Metropolitan Airport|Columbus|USA||KCSG|1.0|GA|11.0
1377|53.0|Dallas Love Field|Dallas|USA||KDAL|1.0|TX|46.0
513|54.0|Denver International Airport|Denver|USA||KDEN|1.0|CO|6.0
466|57.0|El Paso International Airport|El Paso|USA||KELP|1.0|TX|46.0
251|65.0|Valley International Airport|Harlingen|USA||KHRL|1.0|TX|46.0
380|69.0|George Bush Intercontinental Houston Airport|Houston|USA||KIAH|1.0|TX|46.0
0|71.0|Phoenix-Mesa-Gateway Airport|Mesa|USA||KIWA|1.0|AZ|4.0
1701|74.0|McCarran International Airport|Las Vegas|USA||KLAS|1.0|NV|35.0
2111|77.0|Laredo International Airport|Laredo|USA||KLRD|1.0|TX|46.0
1110|78.0|Kansas City International Airport|Kansas City|USA||KMCI|1.0|MO|26.0
121|79.0|Harrisburg International Airport|Harrisburg|USA||KMDT|1.0|PA|40.0
856|83.0|Miami International Airport|Miami|USA||KMIA|1.0|FL|10.0
2707|85.0|Minneapolis-St Paul International/Wold-Chamberlain Airport|Minneapolis|USA||KMSP|1.0|MN|25.0
602|92.0|Metropolitan Oakland International Airport|Oakland|USA||KOAK|1.0|CA|5.0
2764|94.0|Eppley Airfield|Omaha|USA||KOMA|1.0|NE|31.0
8220|95.0|Ontario International Airport|Ontario|USA||KONT|1.0|CA|5.0
1022|97.0|Chicago O'Hare International Airport|Chicago|USA||KORD|1.0|IL|16.0
2291|105.0|Reno Tahoe International Airport|Reno|USA||KRNO|1.0|NV|35.0
558|107.0|San Diego International Airport|San Diego|USA||KSAN|1.0|CA|5.0
243|108.0|San Antonio International Airport|San Antonio|USA||KSAT|1.0|TX|46.0
4858|116.0|Salt Lake City International Airport|Salt Lake City|USA||KSLC|1.0|UT|47.0
2009|120.0|Toledo Express Airport|Toledo|USA||KTOL|1.0|OH|37.0
4830|123.0|Joslin Field Magic Valley Regional Airport|Twin Falls|USA||KTWF|1.0|ID|15.0
27529|44.0|General Edward Lawrence Logan International Airport|Boston|USA||KBOS|1.0|MA|21.0
24028|49.0|City of Colorado Springs Municipal Airport|Colorado Springs|USA||KCOS|1.0|CO|6.0
