,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total
,Airport Name,City,State,Country,Latitude,Longitude,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018
Airport Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKPR,Pristina International Airport,Pristina,,Kosovo,42.572778,21.035833,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,1.0,,,2.0,0.0,0.0,0.0,0.0,2.0,,
DAAG,Houari Boumediene Airport,Algiers,,Algeria,36.691,3.215,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,
DFFD,Ouagadougou Airport,Ouagadougou,,Burkina Faso,12.353,-1.5119999999999998,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0
DGAA,Kotoka International Airport,Accra,,Ghana,5.603,-0.168,17.0,14.0,0.0,0.0,0.0,17.0,172.0,130.0,,,,,,,,,,,,,,,,,17.0,14.0,0.0,0.0,0.0,17.0,172.0,130.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,17.0,14.0,0.0,0.0,0.0,17.0,172.0,130.0
DIAP,Port Bouet Airport,Abidjan,,Ivory Coast,5.26,-3.926,11.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,,,,,,,,,,,,,,,,,11.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0
DNMM,Murtala Muhammed International Airport,Lagos,,Nigeria,6.577000000000001,3.321,37.0,36.0,30.0,0.0,45.0,41.0,57.0,38.0,,,,,,,,,,,,,,,,,37.0,36.0,30.0,0.0,45.0,41.0,57.0,38.0,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,37.0,36.0,30.0,0.0,45.0,41.0,57.0,38.0
DRRN,Diori Hamani International Airport,Niamey,,Niger,13.481,2.184,,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,4.0,
DXXX,Lomé–Tokoin Airport,Togo,,Togo,6.166,1.254,,,,,,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,1.0,0.0,2.0
