ICAOCode, AirportName,Altitude,City,Country,IATACode,LatitudeDecimalDegrees,LatitudeDegrees,LatitudeDirection,LatitudeMinutes,LatitudeSeconds,LongitudeDecimalDegrees,LongitudeDegrees,LongitudeDirection,LongitudeMinutes,LongitudeSeconds
AYGA,GOROKA,1610.0,GOROKA,PAPUA NEW GUINEA,GKA,-6.082000000000001,6.0,S,4.0,54.0,145.392,145.0,E,23.0,30.0
AYLA,,0.0,LAE,PAPUA NEW GUINEA,LAE,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
AYMD,MADANG,7.0,MADANG,PAPUA NEW GUINEA,MAG,-5.207000000000001,5.0,S,12.0,25.0,145.789,145.0,E,47.0,19.0
AYMH,MOUNT HAGEN,1643.0,MOUNT HAGEN,PAPUA NEW GUINEA,HGU,-5.8260000000000005,5.0,S,49.0,34.0,144.296,144.0,E,17.0,46.0
AYNZ,NADZAB,73.0,NADZAB,PAPUA NEW GUINEA,LAE,-6.57,6.0,S,34.0,11.0,146.726,146.0,E,43.0,34.0
AYPY,PORT MORESBY JACKSONS INTERNATIONAL,45.0,PORT MORESBY,PAPUA NEW GUINEA,POM,-9.443,9.0,S,26.0,36.0,147.22,147.0,E,13.0,12.0
AYRB,,0.0,RABAUL,PAPUA NEW GUINEA,RAB,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
AYWK,WEWAK INTERNATIONAL,6.0,WEWAK,PAPUA NEW GUINEA,WWK,-3.5839999999999996,3.0,S,35.0,1.0,143.66899999999998,143.0,E,40.0,9.0
BGAM,,0.0,ANGMAGSSALIK,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGAS,,0.0,ANGISSOQ,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGAT,,0.0,APUTITEQ,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGBW,NARSARSUAQ,35.0,NARSSARSSUAQ,GREENLAND,UAK,61.161,61.0,N,9.0,40.0,-45.427,45.0,W,25.0,39.0
BGCH,,0.0,CHRISTIANSHAAB,GREENLAND,JCH,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGCO,NERLERIT INAAT CONSTABLE PYNT,14.0,NERLERIT INAAT,GREENLAND,,70.73899999999999,70.0,N,44.0,22.0,-22.646,22.0,W,38.0,45.0
BGDB,,0.0,DANEBORG,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGDH,,0.0,DANMARKSHAVN,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGDU,,0.0,DUNDAS,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGEM,,0.0,EGEDESMINDE,GREENLAND,JEG,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGFD,,0.0,FREDERIKSDAL,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGFH,,0.0,FREDERIKSHAAB,GREENLAND,JFR,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGGD,,0.0,GRONNEDAL,GREENLAND,JGR,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGGH,NUUK,87.0,GODTHAAB,GREENLAND,GOH,64.191,64.0,N,11.0,27.0,-51.678000000000004,51.0,W,40.0,41.0
BGGN,,0.0,GODHAVN,GREENLAND,JGO,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGHB,,0.0,HOLSTEINSBORG,GREENLAND,JHS,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGIS,,0.0,ISORTOQ,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGIT,,0.0,IVIGTUT,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGJH,,0.0,JULIANEHAAB,GREENLAND,JJU,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGJN,JACOBSHAVN,34.0,JAKOBSHAVN,GREENLAND,JAV,69.233,69.0,N,14.0,0.0,-51.067,51.0,W,4.0,0.0
BGKD,,0.0,KAP DAN,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGKK,KULUSUK,34.0,KULUSUK,GREENLAND,KUS,65.583,65.0,N,35.0,0.0,-37.15,37.0,W,9.0,0.0
BGKM,,0.0,KUNGMIUT,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGKT,,0.0,KAP TOBIN,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGMV,,0.0,MESTERS VIG,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGNN,,0.0,NANORTALIK,GREENLAND,JNN,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGNS,,0.0,NARSSAQ,GREENLAND,JNS,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGOS,,0.0,ORSSUIORSSUAQ,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGPC,,0.0,PRINS CHRISTIAN SUND,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGRS,,0.0,RAVNS STORO,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGSC,,0.0,SCORESBYSUND,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGSF,KANGERLUSSUAQ SONDRE STROMFJORD,51.0,SONDRESTROM,GREENLAND,SFJ,67.017,67.0,N,1.0,1.0,-50.68899999999999,50.0,W,41.0,21.0
BGSG,,0.0,SERMILIGAO,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGST,,0.0,SUKKERTOPPEN,GREENLAND,JSU,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGTL,THULE AIR BASE,77.0,THULE,GREENLAND,THU,76.531,76.0,N,31.0,52.0,-68.703,68.0,W,42.0,11.0
BGTM,,0.0,TINGMIARMIUT,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGTN,,0.0,TINITEQILAQ,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGUM,,0.0,UMANAK,GREENLAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BGUP,,0.0,UPERNAVIK,GREENLAND,JUV,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BIAR,AKUREYRI,2.0,AKUREYRI,ICELAND,AEY,65.66,65.0,N,39.0,35.0,-18.072,18.0,W,4.0,21.0
BIBL,,0.0,BLONDUOS,ICELAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BIDV,,0.0,DJUOIVOGUR,ICELAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BIEG,EGILSSTADIR,24.0,EGILSSTADIR,ICELAND,EGS,65.283,65.0,N,17.0,0.0,-14.401,14.0,W,24.0,5.0
BIFM,,0.0,FAGURHOLSMYRI,ICELAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BIGR,,0.0,GRIMSEY,ICELAND,GRY,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BIHN,HORNAFJORDUR,8.0,HOFN,ICELAND,HFN,64.296,64.0,N,17.0,44.0,-15.227,15.0,W,13.0,38.0
BIHU,HUSAVIK,14.0,HUSAVIK,ICELAND,HZK,65.952,65.0,N,57.0,8.0,-17.426,17.0,W,25.0,33.0
BIIS,ISAFJORDUR,3.0,ISAFJORDUR,ICELAND,IFJ,66.058,66.0,N,3.0,29.0,-23.135,23.0,W,8.0,7.0
BIKF,KEFLAVIK NAS,53.0,KEFLAVIK,ICELAND,KEF,63.985,63.0,N,59.0,6.0,-22.605999999999998,22.0,W,36.0,20.0
BIKP,KOPASKER,7.0,KOPASKER,ICELAND,OPA,66.314,66.0,N,18.0,49.0,-16.461,16.0,W,27.0,40.0
BIKR,,0.0,SAUDARKROKUR,ICELAND,SAK,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BINF,,0.0,NORDFJORDUR,ICELAND,NOR,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BIPA,PATREKSFJORDUR,4.0,PATREKSFJORDUR,ICELAND,PFJ,65.556,65.0,N,33.0,21.0,-23.965,23.0,W,57.0,54.0
BIRG,,0.0,RAUFARHOFN,ICELAND,RFN,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BIRK,REYKJAVIK,15.0,REYKJAVIK,ICELAND,RKV,64.13,64.0,N,7.0,48.0,-21.941,21.0,W,56.0,26.0
BISI,SIGLUFJORDHUR,4.0,SIGLUFJORDUR,ICELAND,SIJ,66.133,66.0,N,8.0,0.0,-18.917,18.0,W,55.0,0.0
BISS,,0.0,SANDSKEID,ICELAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BIST,,0.0,STYKKISHOLMUR,ICELAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BITE,,0.0,THINGEYRI,ICELAND,TEY,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BITH,,0.0,THORSHOFN,ICELAND,THO,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BIVM,VESTMANNAEYJAR,100.0,VESTMANNAEYJAR,ICELAND,VEY,63.424,63.0,N,25.0,27.0,-20.279,20.0,W,16.0,43.0
BIVO,,0.0,VOPNAFJORDUR,ICELAND,VPN,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
BZGD,,0.0,GODLEY,NEW ZEALAND,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CUAP,,0.0,ACTIVE PASS,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CUHA,,0.0,QUAQTAQ,CANADA,YQC,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CUQC,,0.0,STIRLING,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CUUP,,0.0,OTTAWA,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CWBF,,0.0,BATTLE HARBOUR,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CWHJ,,0.0,HOLBERG,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CWMK,,0.0,SIMCOE,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CWMN,,0.0,MOUNT FOREST,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CWOH,,0.0,SAINTE AGATHE,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CWPC,,0.0,PINCHER CREEK,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CWPO,,0.0,PILOT MOUNT,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CWVA,,0.0,BONAVISTA,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYAB,,0.0,ARCTIC BAY,CANADA,YAB,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYAJ,,0.0,KOMAKUK,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
