,airport_name,monthly_dropoff_avg,monthly_dropoff_mission_avg,monthly_pickup_avg,monthly_pickup_mission_avg,removal_percent,total_unique,transfer_percent,unique_dropoff_missions,unique_dropoffs,unique_pickup_missions,unique_pickups,unique_removals,unique_transfers
BKPR,"{'AirportName': 'Pristina International Airport', 'LatitudeDecimalDegrees': 42.572778, 'LongitudeDecimalDegrees': 21.035833}",0.06,0.05,,,100.0,4,0.0,3,4,0,0,4,0
DAAG,"{'AirportName': 'Houari Boumediene Airport', 'LatitudeDecimalDegrees': 36.691, 'LongitudeDecimalDegrees': 3.215}",3.0,1.0,,,100.0,3,0.0,1,3,0,0,3,0
DFFD,"{'AirportName': 'Ouagadougou Airport', 'LatitudeDecimalDegrees': 12.353, 'LongitudeDecimalDegrees': -1.5119999999999998}",5.0,1.0,,,100.0,5,0.0,1,5,0,0,5,0
DGAA,"{'AirportName': 'Kotoka International Airport', 'LatitudeDecimalDegrees': 5.603, 'LongitudeDecimalDegrees': -0.168}",3.76,0.09,,,100.0,350,0.0,8,350,0,0,350,0
DIAP,"{'AirportName': 'Port Bouet Airport', 'LatitudeDecimalDegrees': 5.26, 'LongitudeDecimalDegrees': -3.926}",0.32,0.06,,,100.0,31,0.0,6,31,0,0,31,0
DNMM,"{'AirportName': 'Murtala Muhammed International Airport', 'LatitudeDecimalDegrees': 6.577000000000001, 'LongitudeDecimalDegrees': 3.321}",2.99,0.08,,,100.0,284,0.0,8,284,0,0,284,0
DRRN,"{'AirportName': 'Diori Hamani International Airport', 'LatitudeDecimalDegrees': 13.481, 'LongitudeDecimalDegrees': 2.184}",0.08,0.03,,,100.0,5,0.0,2,5,0,0,5,0
DXXX,"{'AirportName': 'Lomé–Tokoin Airport', 'LatitudeDecimalDegrees': 6.166, 'LongitudeDecimalDegrees': 1.254}",0.12,0.08,,,100.0,3,0.0,2,3,0,0,3,0
EDDF,"{'AirportName': 'Frankfurt am Main International Airport', 'LatitudeDecimalDegrees': 50.026, 'LongitudeDecimalDegrees': 8.543}",0.1,0.04,1.0,1.0,100.0,6,0.0,2,5,1,1,6,0
EGGW,"{'AirportName': 'London Luton Airport', 'LatitudeDecimalDegrees': 51.874, 'LongitudeDecimalDegrees': -0.368}",3.0,1.0,,,100.0,3,0.0,1,3,0,0,3,0
EGSS,"{'AirportName': 'London Heathrow Airport', 'LatitudeDecimalDegrees': 51.885, 'LongitudeDecimalDegrees': 0.235}",7.0,1.0,,,100.0,7,0.0,1,7,0,0,7,0
EPWA,"{'AirportName': 'Warsaw Chopin Airport', 'LatitudeDecimalDegrees': 52.166, 'LongitudeDecimalDegrees': 20.967}",0.25,0.1,,,100.0,15,0.0,6,15,0,0,15,0
EYVI,"{'AirportName': 'Vilnius International Airport', 'LatitudeDecimalDegrees': 54.63694399999999, 'LongitudeDecimalDegrees': 25.287778}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
FALA,"{'AirportName': 'Lanseria Airport', 'LatitudeDecimalDegrees': -25.938, 'LongitudeDecimalDegrees': 27.926}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
FCBB,"{'AirportName': 'Maya-Maya Airport', 'LatitudeDecimalDegrees': -4.252, 'LongitudeDecimalDegrees': 15.253}",4.0,1.0,,,100.0,4,0.0,1,4,0,0,4,0
FGSL,"{'AirportName': 'Malabo Santa Isabel Airport', 'LatitudeDecimalDegrees': 3.755, 'LongitudeDecimalDegrees': 8.709}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
FKKD,"{'AirportName': 'Douala International Airport', 'LatitudeDecimalDegrees': 4.006, 'LongitudeDecimalDegrees': 9.719}",0.62,0.19,,,100.0,30,0.0,9,30,0,0,30,0
FKYS,"{'AirportName': 'Yaoundé Nsimalen International Airport', 'LatitudeDecimalDegrees': 3.7225, 'LongitudeDecimalDegrees': 11.553333}",0.32,0.08,,,100.0,8,0.0,2,8,0,0,8,0
FLKK,"{'AirportName': 'Kenneth Kaunda International/Lusaka Airport', 'LatitudeDecimalDegrees': -15.331667, 'LongitudeDecimalDegrees': 28.434167}",0.13,0.09,,,100.0,6,0.0,4,6,0,0,6,0
FOOL,"{'AirportName': 'Libreville International Airport', 'LatitudeDecimalDegrees': 0.458, 'LongitudeDecimalDegrees': 9.412}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
FTTJ,"{'AirportName': ""N'Djamena International Airport"", 'LatitudeDecimalDegrees': 12.134, 'LongitudeDecimalDegrees': 15.034}",0.13,0.06,,,100.0,4,0.0,2,4,0,0,4,0
FVHA,"{'AirportName': 'Harare International Airport', 'LatitudeDecimalDegrees': -17.932000000000006, 'LongitudeDecimalDegrees': 31.093000000000004}",0.27,0.13,,,100.0,4,0.0,2,4,0,0,4,0
FWKI,"{'AirportName': 'Lilongwe - Kamuzu International Airport', 'LatitudeDecimalDegrees': -13.789167, 'LongitudeDecimalDegrees': 33.780833}",0.12,0.12,,,100.0,2,0.0,2,2,0,0,2,0
FYWH,"{'AirportName': 'Hosea Kutako International Airport', 'LatitudeDecimalDegrees': -22.486667, 'LongitudeDecimalDegrees': 17.4625}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
FZAA,"{'AirportName': 'Ndjili International Airport', 'LatitudeDecimalDegrees': -4.386, 'LongitudeDecimalDegrees': 15.444}",0.18,0.06,,,100.0,15,0.0,5,15,0,0,15,0
GABS,"{'AirportName': 'Senou Airport', 'LatitudeDecimalDegrees': 12.533, 'LongitudeDecimalDegrees': -7.95}",0.18,0.06,,,100.0,15,0.0,5,15,0,0,15,0
GBYD,"{'AirportName': 'Banjul International Airport', 'LatitudeDecimalDegrees': 13.338, 'LongitudeDecimalDegrees': -16.652}",1.92,0.16,,,100.0,48,0.0,4,48,0,0,48,0
GFLL,"{'AirportName': 'Lungi International Airport', 'LatitudeDecimalDegrees': 8.616, 'LongitudeDecimalDegrees': -13.195}",1.12,0.24,,,100.0,19,0.0,4,19,0,0,19,0
GLRB,"{'AirportName': 'Roberts International Airport', 'LatitudeDecimalDegrees': 6.234, 'LongitudeDecimalDegrees': -10.362}",1.4,0.1,,,100.0,130,0.0,9,130,0,0,130,0
GMMN,"{'AirportName': 'Mohammed V International Airport', 'LatitudeDecimalDegrees': 33.368, 'LongitudeDecimalDegrees': -7.587999999999999}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
