,CountryOfCitizenship,2016-10-01,2017-10-01
AlienMasterID,CAMBODIA,2.0,19.0
AlienMasterID,CHINA,2.0,1.0
AlienMasterID,COLOMBIA,16.0,8.0
AlienMasterID,DOMINICAN REPUBLIC,2.0,3.0
AlienMasterID,ECUADOR,22.0,14.0
AlienMasterID,EL SALVADOR,209.0,168.0
AlienMasterID,GUATEMALA,273.0,377.0
AlienMasterID,HONDURAS,211.0,236.0
AlienMasterID,INDIA,3.0,10.0
AlienMasterID,JAMAICA,2.0,2.0
AlienMasterID,MEXICO,2189.0,2551.0
AlienMasterID,NICARAGUA,11.0,10.0
AlienMasterID,VIETNAM,2.0,3.0
AlienMasterID,AFGHANISTAN,2.0,3.0
AlienMasterID,PERU,,1.0
AlienMasterID,PHILIPPINES,1.0,
AlienMasterID,RUSSIA,,2.0
AlienMasterID,CANADA,1.0,
AlienMasterID,LIBERIA,2.0,
AlienMasterID,SOMALIA,3.0,16.0
AlienMasterID,SUDAN,,1.0
AlienMasterID,UKRAINE,3.0,1.0
AlienMasterID,MOROCCO,,1.0
AlienMasterID,UNITED KINGDOM,,1.0
AlienMasterID,SIERRA LEONE,,2.0
AlienMasterID,CAMEROON,,1.0
AlienMasterID,FIJI,,1.0
AlienMasterID,GHANA,3.0,3.0
AlienMasterID,BRAZIL,,1.0
AlienMasterID,CUBA,,1.0
AlienMasterID,IRAQ,2.0,1.0
AlienMasterID,ROMANIA,,1.0
AlienMasterID,BANGLADESH,,1.0
AlienMasterID,GUINEA,,4.0
AlienMasterID,HAITI,421.0,37.0
AlienMasterID,MALI,1.0,
AlienMasterID,PAKISTAN,,3.0
AlienMasterID,SENEGAL,3.0,1.0
AlienMasterID,MOLDOVA,,1.0
AlienMasterID,SAMOA,,2.0
AlienMasterID,GAMBIA,2.0,3.0
AlienMasterID,UNKNOWN,2.0,
AlienMasterID,EGYPT,,1.0
AlienMasterID,KENYA,,2.0
AlienMasterID,NEPAL,,1.0
