,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID,AlienMasterID
CountryOfCitizenship,BRAZIL,CAMEROON,CAPE VERDE,CHINA,COLOMBIA,CUBA,DOMINICAN REPUBLIC,ECUADOR,EL SALVADOR,GHANA,GUATEMALA,HAITI,HONDURAS,IVORY COAST,JAMAICA,KENYA,LIBERIA,MEXICO,NICARAGUA,NIGER,NIGERIA,PORTUGAL,ROMANIA,RWANDA,SUDAN,UKRAINE,UNKNOWN,YEMEN,ALBANIA,GEORGIA,JAPAN,KOSOVO,MOLDOVA,PALESTINE,MACEDONIA,TAJIKISTAN,BANGLADESH,BOLIVIA,ETHIOPIA,GERMANY,GUINEA,GUYANA,INDONESIA,ISRAEL,MALI,MOZAMBIQUE,NEPAL,PERU,PHILIPPINES,POLAND,RUSSIA,SLOVAKIA,SOMALIA,SRI LANKA,TAIWAN,THAILAND,TRINIDAD,VIETNAM,BAHAMAS,LEBANON,UNITED KINGDOM,BERMUDA,HUNGARY,KYRGYSTAN,MONTENEGRO,SERBIA,DEMOCRATIC REPUBLIC OF CONGO,BULGARIA,BELIZE,MEXIC,BOSNIA,ITALY,JORDAN,UGANDA,SLOVENIA,DOMINICA,ST VINCENT,CZECH REPUBLIC,TURKEY,UZBEKISTAN,TANZANIA,CHAD,ZAMBIA,GABON,MALAWI,ARGENTINA,BARBADOS,CAMBODIA,FRANCE,INDIA,NEW ZEALAND,TOGO,URUGUAY,VENEZUELA,COSTA RICA,LITHUANIA,ST. VINCENT & THE GRENADINES,ST. KITTS-NEVIS,AUSTRALIA,TRINIDAD & TOBAGO,TONGA,MARSHALL ISLANDS,EQUATORIAL GUINEA,ALGERIA,GAMBIA,IRAQ,PANAMA,SPAIN,SENEGAL,AFGHANISTAN,MAURITANIA,ZIMBABWE,SIERRA LEONE,GRENADA,SURINAME,COTE D'IVORIE (IVORY COAST),EGYPT,PAKISTAN,NETHERLANDS,BURUNDI,CONGO,MOROCCO,SOUTH AFRICA,ST. LUCIA,BURKINA FASO,SOUTH SUDAN,ANTIGUA & BARBUDA,BURMA,SAMOA,UNITED ARAB EMIRATES,PALESTINIAN,NAMIBIA
FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,1.0,2.0,4.0,6.0,1059.0,31.0,2343.0,1436.0,15817.0,17.0,30475.0,228.0,21183.0,11.0,877.0,3.0,16.0,108021.0,1202.0,1.0,34.0,3.0,1.0,1.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-01,,1.0,,4.0,1020.0,34.0,2281.0,1595.0,18108.0,14.0,38400.0,547.0,30815.0,,861.0,4.0,,110870.0,1227.0,2.0,37.0,,1.0,,,3.0,5.0,,2.0,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,3.0,10.0,9.0,2.0,1.0,9.0,2.0,5.0,1.0,3.0,3.0,1.0,9.0,1.0,1.0,1.0,24.0,10.0,2.0,7.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,,,,,943.0,16.0,1849.0,1318.0,20178.0,,47956.0,452.0,35759.0,,845.0,,,78650.0,1218.0,,30.0,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,2.0,,,,10.0,,,1.0,,,,,1.0,,,,,,,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,,7.0,,,865.0,6.0,1748.0,1377.0,26508.0,,54270.0,338.0,39827.0,,810.0,4.0,,39279.0,1224.0,,,,,,,,,,2.0,,,,,,,,,6.0,,,,19.0,,4.0,,,,41.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,,9.0,,16.0,847.0,16.0,1552.0,1153.0,21378.0,,32599.0,369.0,19613.0,,653.0,6.0,,29461.0,786.0,,45.0,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,23.0,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,2.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,3.0,,,847.0,25.0,1556.0,980.0,20089.0,17.0,32963.0,267.0,21311.0,5.0,660.0,,,27082.0,708.0,,41.0,,,1.0,,4.0,,,4.0,,,2.0,,6.0,,,67.0,,4.0,4.0,8.0,,,3.0,,,4.0,22.0,2.0,7.0,4.0,1.0,,4.0,1.0,,,4.0,23.0,,,,,,,,3.0,,10.0,,,,6.0,,,,,,,,,,,,1.0,7.0,2.0,2.0,4.0,81.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,18.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,5.0,,47.0,795.0,53.0,1696.0,929.0,17970.0,172.0,32198.0,5549.0,21241.0,,667.0,18.0,62.0,32967.0,774.0,4.0,57.0,,,,6.0,3.0,,,,,,,2.0,9.0,,,139.0,,,,37.0,25.0,,,,,7.0,,,2.0,4.0,,342.0,,,,,4.0,,,,,4.0,,,,,,,,9.0,2.0,,,,,,,,,,,,,,,,28.0,,144.0,,,,,,,,,,33.0,,,,3.0,4.0,8.0,11.0,7.0,147.0,29.0,2.0,2.0,7.0,5.0,2.0,,,,,,,,,,,,,,,,,
2017-10-01,8.0,13.0,7.0,93.0,866.0,255.0,1520.0,1036.0,14516.0,130.0,48765.0,805.0,27777.0,,683.0,33.0,52.0,34738.0,801.0,,38.0,,,,16.0,3.0,2.0,,,,,,,,,,63.0,,4.0,,128.0,7.0,,3.0,9.0,,5.0,18.0,,,,,151.0,,,2.0,,38.0,1.0,,7.0,,,,,,9.0,,5.0,,1.0,4.0,1.0,,,1.0,,,,,5.0,2.0,4.0,,,7.0,,90.0,,170.0,,2.0,,,,,,,,2.0,,,,,40.0,5.0,5.0,3.0,43.0,16.0,7.0,2.0,12.0,,,13.0,8.0,109.0,1.0,6.0,4.0,1.0,1.0,2.0,5.0,61.0,3.0,33.0,6.0,1.0,4.0,2.0
