,2010-10-01,2011-10-01,2012-10-01,2013-10-01,2014-10-01,2015-10-01,2016-10-01,2017-10-01,2018-10-01
1A,0.12302045326491874,0.10732493663633627,0.05145275571829378,0.003083822256420121,0.0024319469393395054,0.0003368200445350948,0.0001978818043379133,0.000202567353645087,0.00027742549143944196
1B,,,0.0005917753789740094,0.0005590554967779167,0.0006632582561835014,9.356112348197077e-06,8.603556710344055e-06,3.0009978317790667e-05,3.9632213062777425e-05
1C,,,1.585112622251811e-05,3.0056747138597672e-05,,,,,
2A,,,0.005252006488394334,0.0014066557660863711,0.002772787987656027,0.0009917479089088903,0.0018669718061446602,0.0024383107383204915,0.001862714013950539
2B,,,7.925563111259055e-05,7.814754256035395e-05,0.00010133112247247939,0.00014034168522295617,0.00020648536104825736,0.00011253741869171499,0.00011889663918833228
3,0.006285317301853868,0.0026947765034910707,0.006768430897015233,0.01044171395594883,0.02436552899451891,0.031380400815853,0.034698144212817576,0.03715985565200429,0.034281864299302474
5A,,,1.056741748167874e-05,2.4045397710878137e-05,2.763576067431256e-05,,1.720711342068811e-05,1.5004989158895333e-05,3.9632213062777425e-05
5B,,,0.00035929219437707714,0.0014487352120804077,0.0012988807516926904,0.00060814730263281,0.0011442730424757596,0.0010278417573843302,0.0004755865567533291
5C,,,5.28370874083937e-06,2.4045397710878137e-05,3.6847680899083415e-05,9.356112348197077e-06,1.720711342068811e-05,2.2507483738343e-05,3.9632213062777425e-05
5D,,,8.453933985342992e-05,0.00010820428969895162,7.369536179816683e-05,3.742444939278831e-05,0.00016346757749653707,0.00012754240785061032,0.0001585288522511097
5E,,,5.28370874083937e-06,6.011349427719534e-06,3.6847680899083415e-05,,6.882845368275244e-05,9.753242953281966e-05,0.00019816106531388714
5F,,,3.170225244503622e-05,3.0056747138597672e-05,1.8423840449541707e-05,1.8712224696394154e-05,0.00010324268052412868,0.00021006984822453465,7.926442612555485e-05
8A,,,0.00032230623319120155,0.001214292584399346,0.0012343973101192943,0.001581182986845306,0.002908002168096291,0.0034811574848637172,0.004795497780596069
8B,,,0.0022138739624116962,0.001472780609791286,0.003408410483165216,0.004154113882599502,0.009248823463619861,0.0096482080291697,0.009551363348129359
8C,,,0.05546309065259087,0.09864023275944984,0.1409608032794436,0.1430175333545405,0.20220078980650602,0.22699547599576858,0.22162333544705137
8D,,,5.28370874083937e-05,7.814754256035395e-05,0.00020266224494495878,0.000243258921053124,0.00036134938183445036,0.0004426471801874123,0.0007133798351299937
8E,,,0.0006129102139373669,0.0022542560353948256,0.004348026346091843,0.005856926329971371,0.008500314029819928,0.008402793928981387,0.0057466708941027265
8F,0.05419376719709858,0.10721326121366907,0.2754555877861789,0.3242942675771857,0.2952973147252545,0.2801220037050205,0.2249485937486557,0.2463744194944819,0.24928662016487
8G,5.470250045129563e-06,,0.002441073438267789,0.01536500913725113,0.037299064990097185,0.09669542111861679,0.11237965775051406,0.09372116228646024,0.10645212428662017
8H,,,4.755337866755433e-05,0.0009858613061460037,0.0005619271337110221,0.002301603637656481,0.010874895681874887,0.0026183706082272356,0.0015060240963855422
8I,,,2.641854370419685e-05,0.00019837453111474463,0.0007369536179816683,0.0011975823805692259,0.001841161136013628,0.0020706885039275557,0.001783449587824984
9,,,0.006129102139373669,0.0037510820428969895,0.0033623508820413615,0.001712168559720065,0.0012819299498412645,0.0008027669200009003,0.00043595434369055167
10,,,4.755337866755433e-05,6.612484370491488e-05,9.211920224770853e-05,9.356112348197078e-05,0.0002581067013103217,0.00021006984822453465,0.00027742549143944196
11,0.000951823507852544,0.0004467016906687901,0.012141962686448873,0.018082139078580358,0.03530007830132191,0.035001216294605265,0.025062160697232237,0.01989661562469521,0.01581325301204819
12,,,0.015084988455096402,0.0004328171587958065,0.000377688729215605,0.00013098557287475907,0.00024089958788963358,0.00018756236448619167,0.00011889663918833228
13,,,4.226966992671496e-05,6.011349427719534e-06,,1.8712224696394154e-05,2.581067013103217e-05,7.502494579447667e-06,0.00011889663918833228
14,,,3.170225244503622e-05,0.00010219294027123209,6.448344157339597e-05,0.000121629460526562,0.00011184623723447273,0.00010503492411226732,3.9632213062777425e-05
15,,,6.86882136309118e-05,0.00021640857939790324,0.00018423840449541707,5.613667408918246e-05,6.0224896972408395e-05,2.2507483738343e-05,
16,0.03549645254284573,0.0668693009118541,0.24059896122286156,0.3043305761277292,0.36865183547510477,0.3940888082184091,0.3609708253391952,0.3429690372048706,0.3438887127457197
all_others,0.7800467159353854,0.7154510230439807,0.32456237682354,0.21126887563720304,0.07609046105660724,7.484889878557662e-05,0.0002150889177586014,0.0006001995663558133,0.00027742549143944196
