,2010-10-01,2011-10-01,2012-10-01,2013-10-01,2014-10-01,2015-10-01,2016-10-01,2017-10-01,2018-10-01
1A,23036.0,23354.0,10709.0,1260.0,412.0,57.0,25.0,29.0,7.0
1B,,,157.0,137.0,117.0,5.0,3.0,6.0,1.0
1C,,,3.0,6.0,2.0,1.0,,1.0,
2A,,,1489.0,838.0,888.0,423.0,1051.0,777.0,120.0
2B,,,26.0,48.0,65.0,114.0,133.0,123.0,19.0
3,1222.0,633.0,2251.0,3071.0,5088.0,7112.0,8715.0,9977.0,1603.0
5A,,,4.0,30.0,31.0,1.0,2.0,2.0,2.0
5B,,,120.0,384.0,232.0,131.0,244.0,263.0,20.0
5C,,,2.0,6.0,9.0,4.0,9.0,4.0,1.0
5D,,,30.0,53.0,23.0,10.0,32.0,32.0,5.0
5E,,,1.0,2.0,5.0,1.0,14.0,22.0,5.0
5F,,,7.0,12.0,4.0,26.0,74.0,272.0,52.0
8A,,,247.0,5631.0,727.0,1121.0,2865.0,1993.0,477.0
8B,,,512.0,477.0,714.0,969.0,2410.0,2208.0,371.0
8C,,,12206.0,21653.0,23796.0,25587.0,36009.0,43032.0,7211.0
8D,,,15.0,49.0,59.0,134.0,208.0,269.0,57.0
8E,,,178.0,575.0,752.0,1154.0,1683.0,1805.0,212.0
8F,10705.0,28814.0,66580.0,68549.0,36755.0,34942.0,36322.0,37344.0,7381.0
8G,82.0,148.0,3358.0,11936.0,14189.0,32533.0,29387.0,31077.0,8663.0
8H,,,17.0,241.0,82.0,360.0,1765.0,630.0,64.0
8I,,,10.0,44.0,107.0,244.0,428.0,476.0,68.0
9,,,1309.0,1053.0,521.0,220.0,168.0,116.0,11.0
10,,,32.0,49.0,37.0,38.0,143.0,125.0,26.0
11,188.0,97.0,2739.0,4681.0,6591.0,6352.0,4530.0,3787.0,509.0
12,,,3164.0,389.0,107.0,26.0,52.0,41.0,6.0
13,,,8.0,2.0,,2.0,5.0,1.0,4.0
14,,,8.0,33.0,12.0,31.0,29.0,27.0,2.0
15,,,19.0,51.0,33.0,6.0,9.0,4.0,
16,7224.0,24258.0,56696.0,64365.0,52599.0,56622.0,53967.0,57085.0,10315.0
all_others,185530.0,187180.0,95429.0,63716.0,13001.0,9.0,42.0,117.0,39.0
AlienMasterID,227987.0,264484.0,257326.0,249341.0,156958.0,168235.0,180328.0,191645.0,37251.0
