DropLoc,air2_AirportID,air2_AirportName,air2_City,st2_StateID,st2_StateAbbr,air2_Country,DropLoc_drop
KNYL,91,Yuma MCAS/Yuma International Airport,Yuma Naval,4,AZ,USA,
KNYL,90,Yuma MCAS/Yuma International Airport,Yuma,3,AR,USA,x
BKPR,146,Pristina International Airport,Pristina,,,Kosovo,
BKPR,263,Pristina International Airport,Pristina,,,Kosovo,x
HAAB,29,Addis Ababa Bole International Airport,Addis Ababa,,,Ethiopia,
HAAB,244,Addis Ababa Bole International Airport,Bole,,,Ethiopia,x
ORBI,289,Baghdad International Airport,Baghdad,,,Iraq,x
ORBI,165,Baghdad International Airport,Baghdad,,,Iraq,
KFTW,,,,,,,x
KFTW,301,Fort Worth Meacham International Airport,Fort Worth,46,TX,USA,
