,MissionID,MissionNumber,MsnTailNumber,MissionDate,MissionFY,MissionMonth,MissionWeek,MsnStart,MsnStpOne,MsnStpTwo,MsnStpThree,MsnStpFour,MsnStpFive,MsnStpSix,MsnStpSeven,MsnStpEight,MsnEnd,msnDelayReason,msnCancelReason,msnFlightODCCost,msnProposedFines,msnEnforcedFines,msnGeneralFlightCost,msnFlightHoursPlanned,msnFlightHoursActual,msnCharterDesignation,Status,msnVendor,msnInvoiceNumber,MissionQuarter,MissionYear,MissionTotalCost,MissionPassengers,LegPassengers,MissionUtilization,LegUtilization,ManifestedPassengers,StruckPassengers,PlannedMissionUtilization,puloc_1,puloc_2,puloc_3,puloc_4,puloc_5,droploc_1,droploc_2,droploc_3,droploc_4,droploc_5
44,47161,190053.0,(B)(7)(E) ,2018-10-10,2019.0,10.0,41.0,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,,,,,,(B)(7)(E) ,,Mechanical,(B)(4),0.0,32000.0,(B)(4),1.2,1.05,IWA #2,,CAC,20181021A,4.0,2018.0,(B)(4),73.0,,0.5407407,,140.0,67.0,1.037037,KIWA,,,,,KELP,,,,
88,47206,190099.0,(B)(7)(E) ,2018-10-19,2019.0,10.0,42.0,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,,,,,,(B)(7)(E) ,,Aircraft/Security Crew Issues,0.00,0.0,72322.2,0.00,9.08,0.0,BRO #1,,CAC,20181021A,4.0,2018.0,(B)(4),0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,
137,47255,190168.0,(B)(7)(E) ,2018-10-30,2019.0,10.0,44.0,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,,,,,,,(B)(7)(E) ,,Mechanical,(B)(4),0.0,64357.2,(B)(4),5.08,5.88,BRO #2,,CAC,20181104A,4.0,2018.0,(B)(4),112.0,,0.8296296,,114.0,2.0,0.84444445,KELP,,,,,KELP,,,,
235,47353,190257.0,(B)(7)(E) ,2018-11-19,2019.0,11.0,47.0,(B)(7)(E) ,,,,,,,,,(B)(7)(E) ,,Mechanical,0.00,0.0,60500.0,(B)(4),1.42,1.57,SAT #2,,CAC,20181202A,4.0,2018.0,(B)(4),122.0,,0.9037037,,125.0,3.0,0.9259259,KELP,,,,,KELP,,,,
236,47354,190258.0,(B)(7)(E) ,2018-11-19,2019.0,11.0,47.0,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,,,,,,,(B)(7)(E) ,,,(B)(4),0.0,20000.0,(B)(4),6.83,6.33,AEX #1,,CAC,20181202A,4.0,2018.0,(B)(4),116.0,,0.85925925,,136.0,20.0,1.0074074,KAEX,KBUF,KMDT,,,KMDT,KAEX,,,
246,47364,190266.0,(B)(7)(E) ,2018-11-20,2019.0,11.0,47.0,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,,,,,,,(B)(7)(E) ,,,(B)(4),0.0,7000.0,(B)(4),7.58,7.93,AEX #2,,CAC,20181202A,4.0,2018.0,(B)(4),126.0,,0.93333334,,151.0,25.0,1.1185185,KAEX,KPSM,KEWR,,,KEWR,KAEX,,,
259,47377,190277.0,(B)(7)(E) ,2018-11-23,2019.0,11.0,47.0,(B)(7)(E) ,(B)(7)(E) ,,,,,,,,(B)(7)(E) ,,Delay & Time Constraint,0.00,0.0,48427.2,0.00,9.58,0.0,IWA #3,,CAC,20181202A,4.0,2018.0,(B)(4),109.0,,0.8074074,,136.0,27.0,1.0074074,KIWA,,,,,KMEM,,,,
267,47385,190320.0,(B)(7)(E) ,2018-11-26,2019.0,11.0,48.0,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,,,,,,(B)(7)(E) ,,Mechanical,0.00,0.0,23500.0,0.00,0.0,0.0,IWA #3,,CAC,20181202A,4.0,2018.0,(B)(4),0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,
433,47554,190472.0,(B)(7)(E) ,2018-12-27,2019.0,12.0,52.0,(B)(7)(E) ,(B)(7)(E) ,(B)(7)(E) ,,,,,,,(B)(7)(E) ,,,0.00,0.0,13000.0,(B)(4),7.58,8.42,SAT #2,,CAC,20181230A,4.0,2018.0,(B)(4),109.0,,0.8074074,,124.0,15.0,0.91851854,KIWA,,,,,KCHS,,,,
441,47562,190466.0,(B)(7)(E) ,2018-12-28,2019.0,12.0,52.0,(B)(7)(E) ,(B)(7)(E) ,,,,,,,,(B)(7)(E) ,,Mechanical,0.00,0.0,41816.0,0.00,5.25,0.0,BRO #2,,CAC,20181230A,4.0,2018.0,(B)(4),0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,
