,CountryOfCitizenship,2016-10-01,2017-10-01
AlienMasterID,ARGENTINA,,8.0
AlienMasterID,ARMENIA,11.0,18.0
AlienMasterID,BANGLADESH,145.0,75.0
AlienMasterID,BOLIVIA,,1.0
AlienMasterID,BOSNIA,2.0,1.0
AlienMasterID,BRAZIL,21.0,41.0
AlienMasterID,BULGARIA,1.0,
AlienMasterID,CAMBODIA,79.0,266.0
AlienMasterID,CAMEROON,69.0,205.0
AlienMasterID,CANADA,5.0,6.0
AlienMasterID,CHINA,196.0,415.0
AlienMasterID,COLOMBIA,109.0,125.0
AlienMasterID,COTE D'IVORIE (IVORY COAST),6.0,16.0
AlienMasterID,CUBA,24.0,48.0
AlienMasterID,DOMINICAN REPUBLIC,120.0,47.0
AlienMasterID,ECUADOR,303.0,273.0
AlienMasterID,EL SALVADOR,2574.0,3296.0
AlienMasterID,ETHIOPIA,6.0,23.0
AlienMasterID,FIJI,2.0,1.0
AlienMasterID,GAMBIA,15.0,30.0
AlienMasterID,GERMANY,,1.0
AlienMasterID,GHANA,189.0,46.0
AlienMasterID,GUATEMALA,8339.0,14712.0
AlienMasterID,HAITI,3753.0,207.0
AlienMasterID,HONDURAS,4308.0,5810.0
AlienMasterID,INDIA,733.0,2522.0
AlienMasterID,IRAQ,96.0,25.0
AlienMasterID,ISRAEL,,4.0
AlienMasterID,ITALY,2.0,6.0
AlienMasterID,JAMAICA,57.0,69.0
AlienMasterID,JORDAN,,3.0
AlienMasterID,KENYA,7.0,4.0
AlienMasterID,LIBERIA,29.0,3.0
AlienMasterID,MEXICO,736.0,2158.0
AlienMasterID,NEPAL,286.0,311.0
AlienMasterID,NICARAGUA,184.0,255.0
AlienMasterID,NIGER,,1.0
AlienMasterID,NIGERIA,71.0,19.0
AlienMasterID,PAKISTAN,80.0,75.0
AlienMasterID,PANAMA,1.0,2.0
AlienMasterID,PARAGUAY,,2.0
AlienMasterID,PERU,20.0,40.0
AlienMasterID,PHILIPPINES,5.0,5.0
AlienMasterID,PORTUGAL,,1.0
AlienMasterID,ROMANIA,7.0,8.0
AlienMasterID,RUSSIA,16.0,65.0
AlienMasterID,SOMALIA,88.0,77.0
AlienMasterID,SOUTH KOREA,7.0,1.0
AlienMasterID,SPAIN,5.0,3.0
AlienMasterID,SUDAN,10.0,23.0
AlienMasterID,SYRIA,4.0,3.0
AlienMasterID,THAILAND,2.0,1.0
AlienMasterID,TOGO,8.0,6.0
AlienMasterID,TRINIDAD & TOBAGO,,2.0
AlienMasterID,UKRAINE,27.0,26.0
AlienMasterID,UNKNOWN,1.0,1.0
AlienMasterID,UZBEKISTAN,3.0,29.0
AlienMasterID,VENEZUELA,2.0,25.0
AlienMasterID,VIETNAM,42.0,80.0
AlienMasterID,BAHAMAS,3.0,1.0
AlienMasterID,BELIZE,2.0,8.0
AlienMasterID,CHILE,3.0,1.0
AlienMasterID,COSTA RICA,1.0,2.0
AlienMasterID,IRAN,3.0,5.0
AlienMasterID,LEBANON,1.0,
AlienMasterID,NETHERLANDS,,1.0
AlienMasterID,SAUDI ARABIA,1.0,3.0
AlienMasterID,TANZANIA,4.0,6.0
AlienMasterID,AFGHANISTAN,33.0,29.0
AlienMasterID,MOROCCO,,1.0
AlienMasterID,UNITED KINGDOM,1.0,10.0
AlienMasterID,SOUTH AFRICA,,1.0
AlienMasterID,NORWAY,1.0,
AlienMasterID,JAPAN,1.0,4.0
AlienMasterID,GUYANA,,2.0
