Status,Count,Clean,Note
16,324006,,
REMOVAL,295053,RM,
8F,239270,,
8C,169494,,
8G,129412,,
RM,98757,RM,
ER,76942,8F,
VR,54140,1A,
,50963,,
3,37371,,
REINST,32303,16,
11,29083,,
TRANSFER - F/O,19782,16,
REINSTATE,16148,16,
NTA-TFRD,15633,NTA,
8A,13061,,
XFO,12290,16,
ER-NEW,10141,8F,
TRANSFER - NTA,9967,NTA,
8B,7661,,
8E,6359,,
ER-TRANSFER,6127,8F,
2A,5586,,
STAGER,4771,,
REIN,4702,16,
12,3785,,
9,3398,,
8H,3159,,
NTA,3145,NTA,
NTA - TRANSFER,3113,NTA,
F/O - TRANSFER,2690,16,
DEPORT,2637,RM,
VD,2309,1A,
TRANSFER,2174,,
1A,1813,,
ER/CF,1739,8G,
TRANSFER-NTA,1468,,
REINS,1429,16,
5B,1394,,
8I,1377,,
F/O,1374,16,
XNTA,1274,NTA,
RE-INSTATE,1196,16,
FINAL ORDER,1179,16,
WD,1030,,Waiver deportation?
JUVI,845,,
8D,791,,
NTA-TRANSFER,773,NTA,
1/15/1900,747,,
E/R,732,8F,
NTA-TFR,684,NTA,
V,666,1A,
WA/NTA,666,,Waiver?
NTA-TRFD,663,,
V/R,635,,
I-205/REIN,634,16,
FO,629,16,
ADMIN,544,11,
2B,528,,
10,450,,
5F,447,,
RR-TRANSFER,428,,
REINSTATEMENT,427,16,
1B,426,,
STAGING,381,,
RE-INT,367,,
STAGERS,364,,
EXP REM,284,8F,
NTA-NEW,278,,
B&B,224,,
T-NTA,224,,
C/F,222,8G,
ATEP,194,,
5D,185,,
REMOVE,184,,
TRANSFER-FO,170,,
IJVR,163,,Immigration judge voluntary removal?
TRANSFER F/O,146,,
V.D.,143,,Voluntary departure
14,142,,
MTR,129,,Medical transfer?
IC - TRANSFER,126,,Immigration court?
RE-INST,124,16,
15,122,,
T-CAL CITY,119,,
I-296/EXP,110,8F,
RE,100,16,
TFRD/ NTA,100,,
DEPORT/ER,94,,
TRANSFER-F/O,94,,
VOLUNTARY DEPORT,92,,
I-851/ADM,91,,
DEPORT/REINS,84,,
NTA/NO BOND,84,,
V/D,81,,
STIP,80,,
FLO STAGER,78,,
TRANSFER NTA,77,,
5A,72,,
1/10/1900,69,,
F/O TRANSFER,69,,
I-205/REM,68,,
RI,68,,
T-BKI-CALCTY,66,,
REINSTAT,64,,
COV,62,,
REM,60,,
ROMOVAL,59,,
I-205,57,,
1/11/1900,56,,
I-205/ADM,54,,
IMMIGRATION,54,,
REMVOAL,53,,
VR/ATEP,53,,
RR-NEW,51,,
5E,50,,
B & B,50,,
RVML,50,,
ER/CREDFEAR,49,,
REINRF,49,,
T-REINSTATE,48,,
STIP REM,47,,
EXP,46,,
***,45,,
DEPORT/REIN,44,,
REMOV,44,,
FO-TRANSFER,43,,
GUATEMALA,43,,
ADM REM,41,,
IA,40,,
T-BKI/CAL CITY,40,,
T-FINAL ORDER,40,,
TRANSFER -,39,,
REIST,38,,
M,37,,
TRANSFERS,37,,
5C,35,,
STIP REMOVAL,35,,
0,33,,
1/2/1900,32,,
CRIMINAL,32,,
HEARING,32,,
RR - TRANSFER,32,,
VOL RET,32,,
DEPORT REIN,30,,
REMVOVAL,30,,
BIA PENDING,28,,
OTHER,28,,
TRANSFER- NTA,28,,
REINST/RF,27,,
TRANS,27,,
REINST.,26,,
ADMIN DEPORT,25,,
BB,25,,
REINTS,25,,
DEPORT-205,24,,
NTA/REMOVAL,24,,
XFR,24,,
1/8/1900,23,,
ADMIN REMOVAL,23,,
COURT,23,,
INTERVIEWS,23,,
JUVY,23,,
POSSIBLE A NUMBER DELETED,23,,
REMOVALS,23,,
RF,23,,
VOLUNTARY RETURN,23,,
13,22,,
ADM,22,,
BIA,22,,
FO TRANSFER,22,,
RE INT,22,,
TRANSFER - MTR,21,,
TRANSFER FO,21,,
ADMIN.,20,,
ER/ATEP,20,,
EWI,20,,
JUVIE,20,,
NTA/NEW,20,,
NTA/VR,20,,
TRANSFER/SEA,20,,
F/O - REMOVAL,19,,
FINAL,19,,
HONDU,19,,
REINSTAE,19,,
REINSTSTE,19,,
REMOVED,19,,
TRANSFER-MTR,19,,
TRANSFER-REMOVAL,19,,
VDUS,19,,
COURT HEARING,18,,
ER/CR,18,,
PWAM,18,,
SINGLE,18,,
TRANSFER/ETW,18,,
REINST/FEAR,17,,
TRANSFER/NTA,17,,
DEP,16,,
EXPEDITED REMOVAL,16,,
F,16,,
IC-TRANSFER,16,,
R&B,16,,
RE INSTATE,16,,
TRANSFER - FO,16,,
TRANSFER- F/O,16,,
TRANSFER/FO,16,,
