AirportName,ICAOCode,LatitudeDecimalDegrees,LongitudeDecimalDegrees
Amsterdam Airport Schiphol,EHAM,52.308056,4.764167
Bandaranaike International Airport,VCBI,7.181111,79.883611
Bole International Airport,HAAB,8.977778,38.799444
Brazzaville International Airport,FCBB,-4.251667,15.253056
Cotonou International Airport,DBBB,6.355833,2.385
Dakar International Airport,GOOY,14.739444,-17.49
Humberto Delgado Airport,LPPT,38.774167,-9.134167
Laughlin AFB,KDLF,29.359444,-100.778056
Luanda International Airport,FNLU,-8.858333,13.231111
Mariscal Sucre International,SEQM,-0.1133,-78.3586
Miguel Hidalgo y Costilla International Airport,MMGL,20.521667,-103.311111
Noi Bai IAP,VVNB,21.213889,105.803056
Ratmalana  Airport,VCCC,6.821994,79.886208
T.F. Green Airport,KPVD,41.723889,-71.428333
Vienna International Airport,LOWW,48.110833,16.570833
Zvartnots International Airport,UDYZ,40.147222,44.395833
