"Date"|"Flight count"|"Flight number"|"Tail number"|"Operator"|"Owner"|"Previous Airport"|"Next Airport"|"From NWDC - Boarded Plane"|"From Plane - Boarded Bus to NWDC"|"From NWDC - Boarded Plane"|"From Plane - Boarded Bus to NWDC"|"Snoq Pass"|"White Pass"|"# Buses"|"Observations"|"Link"
"Tuesday, May 7, 2019"|1|"RPN529"|"N529AU"|"US DHS ICE ""Repatriate"""|"Swift Air LLC"|"KIWA"|"KELP"|92|40|92|40|||"?"|"Only YKM flight under RPN call sign - they stopped using RPN after this flight."|"https://flightaware.com/live/flight/RPN529/history/20190507/1730Z/KYKM/KELP"
"Sunday, May 12, 2019"|2|"SWQ3571"|"N441US"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KELP"|"KIWA"|0|90|0|100|||3||"https://flightaware.com/live/flight/SWQ3571/history/20190512/1610Z/KELP/KYKM"
"Tuesday, May 14, 2019"|3|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|70|0|78|4|||3|"No female agents, so women weren't patted down"|"https://flightaware.com/live/flight/N529AU/history/20190514/1330Z/KIWA/KYKM"
"Saturday, May 18, 2019"|4|"SWQ3577"|"N625SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KDEN"|"KIWA"|0|35|0|34|||2|"11 women, 24 men dropped off"|"https://flightaware.com/live/flight/SWQ3577/history/20190518/1645Z/KDEN/KYKM"
"Tuesday, May 21, 2019"|5|"SWQ3500"|"N625SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|61|40|61|40|||3|"Records received via Yakima Air Terminal include passenger manifest with names of 15 security personnel"|"https://flightaware.com/live/flight/SWQ3500/history/20190521/1330Z/KIWA/KYKM"
"Sunday, May 26, 2019"|6|"SWQ3586"|"N625SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KELP"|"KONT"|0|50|0|50|||2|"Approx 13 women"|"https://flightaware.com/live/flight/SWQ3586/history/20190526/1610Z/KELP/KYKM"
"Tuesday, May 28, 2019"|7|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|60|1|60|0|||3|"Picked up: 45 males, 15 females"|"https://flightaware.com/live/flight/SWQ3501/history/20190528/1330Z/KIWA/KYKM"
"Tuesday, June 4, 2019"|8|"SWQ3501"|"N441US"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|39|73|40|76|||3|"31 men & 8 women off the plane, 11 women and 62 men on the plane. First day in new tarmac location, lot harder to see anything! No call from City Manager with a heads up."|"https://flightaware.com/live/flight/SWQ3501/history/20190604/1330Z/KIWA/KYKM"
"Tuesday, June 11, 2019"|9|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|76|50|77|50|||3|"15 women and 35 men off the plane and 16 women and 60 men on the plane"|"https://flightaware.com/live/flight/SWQ3501/history/20190611/1330Z/KIWA/KYKM"
"Sunday, June 16, 2019"|10|"WAL408"|"N804WA"|"World Atlantic Airlines"|"World Atlantic Leasing LLC"|"KIAH"|"KSAT"|0|61|0|61|||"2?"|"This flight wasn't observed by local YIRN members - route - San Antonio - Houston - Yakima - San Antonio"|"https://flightaware.com/live/flight/WAL408/history/20190616/1500Z/KIAH/KYKM"
"Tuesday, June 18, 2019"|11|"SWQ3501"|"?"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|91|0|88|0|||3|"78 men and 13 women boarded the plane from the buses and 0 people got off the plane and onto the bus"|"https://flightaware.com/live/flight/SWQ3501/history/20190618/1330Z/KIWA/KYKM"
"Saturday, June 22, 2019"|12|"SWQ3762"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KDEN"|"KIWA"|0|91|0|92|||2|"71 men and 20 women deplaned and put on the bus. They only had TWO buses so there were quite a few people standing in the aisles for the 3 hour bus ride."|"https://flightaware.com/live/flight/SWQ3762/history/20190622/1745ZZ/KDEN/KYKM"
"Tuesday, June 25, 2019"|13|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|67|0|73|0|||3|"7 women, 60 men, several turbaned men"|"https://flightaware.com/live/flight/SWQ3501/history/20190625/1300Z/KIWA/KYKM"
