"Date"|"Flight"|"Departure"|"STD"|"Arrival"|"STA"|"Aircraft"|"Status"|"Duration"|" Notes"||
11-Apr|"WQ3612"|"Dallas, TX (DAL/KDAL)"|"18:35 CDT"|"San Antonio, TX (SAT/KSAT)"|"-"|"B734 (N458UW)"|"Est. Arrival 19:43 CDT"|"00h52m"|"LIVE"||
11-Apr|"WQ3611"|"Harrisburg, PA (MDT/KMDT)"|"15:05 EDT"|"Dallas, TX (DAL/KDAL)"|"-"|"B734 (N458UW)"|"Landed 17:30 CDT"|"03h16m"|||
11-Apr|"WQ3610"|"Buffalo, NY (BUF/KBUF)"|"13:15 EDT"|"Harrisburg, PA (MDT/KMDT)"|"-"|"B734 (N458UW)"|"Landed"|"00h38m"|||
11-Apr|"WQ3609"|"San Antonio, TX (SAT/KSAT)"|"08:00 CDT"|"Buffalo, NY (BUF/KBUF)"|"-"|"B734 (N458UW)"|"Landed 11:58 EDT"|"02h46m"|||
10-Apr|"WQ3538"|"Alexandria, LA (AEX/KAEX)"|"15:20 CDT"|"Brownsville, TX (BRO/KBRO)"|"-"|"B733 (N626SW)"|"Landed"|"01h17m"|||
10-Apr|"WQ3537"|"Gary, IN (GYY/KGYY)"|"12:05 CDT"|"Alexandria, LA (AEX/KAEX)"|"-"|"B733 (N626SW)"|"Landed"|"01h52m"|||
10-Apr|"WQ3608"|"San Salvador (SAL/MSLP)"|"11:00 CST"|"San Antonio, TX (SAT/KSAT)"|"-"|"B734 (N803TJ)"|"Landed 14:30 CDT"|"02h54m"|||
10-Apr|"WQ3536"|"Brownsville, TX (BRO/KBRO)"|"08:00 CDT"|"Gary, IN (GYY/KGYY)"|"-"|"B733 (N626SW)"|"Landed"|"02h39m"|||
10-Apr|"WQ3607"|"Alexandria, LA (AEX/KAEX)"|"07:55 CDT"|"San Salvador (SAL/MSLP)"|"-"|"B734 (N803TJ)"|"Landed"|"02h45m"|||
10-Apr|"WQ3606"|"San Antonio, TX (SAT/KSAT)"|"05:40 CDT"|"Alexandria, LA (AEX/KAEX)"|"-"|"B734 (N803TJ)"|"Landed"|"00h57m"|||
9-Apr|"WQ3553"|"Brownsville, TX (BRO/KBRO)"|"14:52 CDT"|"Miami, FL (MIA/KMIA)"|"-"|"B734 (N441US)"|"Landed 17:57 EDT"|"02h06m"|||
9-Apr|"WQ3605"|"Alexandria, LA (AEX/KAEX)"|"13:40 CDT"|"San Antonio, TX (SAT/KSAT)"|"-"|"B734 (N803TJ)"|"Landed 16:11 CDT"|"01h05m"|||
9-Apr|"WQ3604"|"Columbus, GA (CSG/KCSG)"|"12:15 EDT"|"Alexandria, LA (AEX/KAEX)"|"-"|"B734 (N803TJ)"|"Landed"|"01h16m"|||
9-Apr|"WQ3552"|"Alexandria, LA (AEX/KAEX)"|"11:05 CDT"|"Brownsville, TX (BRO/KBRO)"|"-"|"B734 (N441US)"|"Landed"|"01h22m"|||
9-Apr|"WQ400"|"San Juan (SJU/TJSJ)"|"-"|"Miami, FL (MIA/KMIA)"|"-"|"B733 (N811TJ)"|"Landed 12:41 EDT"|"02h30m"|||
9-Apr|"WQ401"|"San Juan (SJU/TJSJ)"|"10:00 AST"|"Miami, FL (MIA/KMIA)"|"-"|"B733"|"Landed"|"02h30m"|||
9-Apr|"WQ3551"|"Columbus, GA (CSG/KCSG)"|"09:40 EDT"|"Alexandria, LA (AEX/KAEX)"|"-"|"B734 (N441US)"|"Landed"|"01h19m"|||
9-Apr|"WQ3603"|"San Antonio, TX (SAT/KSAT)"|"08:00 CDT"|"Columbus, GA (CSG/KCSG)"|"-"|"B734 (N803TJ)"|"Landed"|"01h43m"|||
9-Apr|"WQ3550"|"Miami, FL (MIA/KMIA)"|"07:00 EDT"|"Columbus, GA (CSG/KCSG)"|"-"|"B734 (N441US)"|"Landed"|"01h33m"|||
9-Apr|"WQ400"|"Miami, FL (MIA/KMIA)"|"-"|"San Juan (SJU/TJSJ)"|"-"|"B733 (N811TJ)"|"Landed 08:33 AST"|"02h03m"|||
8-Apr|"WQ3538"|"-"|"-"|"-"|"-"|"B734 (N418US)"|"Landed"|"-"|||
8-Apr|"WQ3537"|"Alexandria, LA (AEX/KAEX)"|"10:10 CDT"|"La Mesa (SAP/MHLM)"|"-"|"B734 (N418US)"|"Landed"|"02h24m"|||
8-Apr|"WQ3525"|"La Mesa (SAP/MHLM)"|"09:00 CST"|"San Antonio, TX (SAT/KSAT)"|"-"|"B734 (N803TJ)"|"Landed 13:11 CDT"|"02h48m"|||
8-Apr|"WQ3536"|"Brownsville, TX (BRO/KBRO)"|"07:35 CDT"|"Alexandria, LA (AEX/KAEX)"|"-"|"B734 (N418US)"|"Landed 08:36 CDT"|"01h02m"|||
8-Apr|"WQ3524"|"Brownsville, TX (BRO/KBRO)"|"06:20 CDT"|"La Mesa (SAP/MHLM)"|"-"|"B734 (N803TJ)"|"Landed"|"02h06m"|||
8-Apr|"WQ3523"|"San Antonio, TX (SAT/KSAT)"|"04:10 CDT"|"Brownsville, TX (BRO/KBRO)"|"-"|"B734 (N803TJ)"|"Landed"|"00h39m"|||
7-Apr|"WQ3535"|"Alexandria, LA (AEX/KAEX)"|"15:55 CDT"|"Brownsville, TX (BRO/KBRO)"|"-"|"B734 (N418US)"|"Landed"|"01h12m"|||
7-Apr|"WQ3543"|"-"|"-"|"-"|"-"|"B733 (N626SW)"|"Landed"|"-"|||
7-Apr|"WQ3529"|"Guatemala City (GUA/MGGT)"|"12:00 CST"|"San Antonio, TX (SAT/KSAT)"|"-"|"B734 (N458UW)"|"Landed 16:05 CDT"|"02h38m"|||
7-Apr|"WQ3602"|"San Salvador (SAL/MSLP)"|"12:00 CST"|"San Antonio, TX (SAT/KSAT)"|"-"|"B734 (N803TJ)"|"Landed 17:12 CDT"|"02h50m"|||
7-Apr|"WQ3534"|"Richmond, VA (RIC/KRIC)"|"13:30 EDT"|"Alexandria, LA (AEX/KAEX)"|"-"|"B734 (N418US)"|"Landed"|"02h35m"|||
7-Apr|"WQ3549"|"Santo Domingo (SDQ/MDSD)"|"12:00 AST"|"Miami, FL (MIA/KMIA)"|"-"|"B734 (N441US)"|"Landed 17:12 EDT"|"02h05m"|||
7-Apr|"WQ3533"|"Toledo, OH (TOL/KTOL)"|"11:10 EDT"|"Richmond, VA (RIC/KRIC)"|"-"|"B734 (N418US)"|"Landed 12:13 EDT"|"00h59m"|||
7-Apr|"WQ405"|"Santo Domingo (SDQ/MDSD)"|"11:00 AST"|"Miami, FL (MIA/KMIA)"|"-"|"B733 (N811TJ)"|"Landed 12:08 EDT"|"02h06m"|||
7-Apr|"WQ3528"|"Brownsville, TX (BRO/KBRO)"|"09:35 CDT"|"Guatemala City (GUA/MGGT)"|"-"|"B734 (N458UW)"|"Landed"|"02h10m"|||
7-Apr|"WQ3601"|"Laredo, TX (LRD/KLRD)"|"09:10 CDT"|"San Salvador (SAL/MSLP)"|"-"|"B734 (N803TJ)"|"Landed"|"02h45m"|||
7-Apr|"WQ3600"|"San Antonio, TX (SAT/KSAT)"|"07:15 CDT"|"Laredo, TX (LRD/KLRD)"|"-"|"B734 (N803TJ)"|"Landed"|"00h30m"|||
7-Apr|"WQ3542"|"Alexandria, LA (AEX/KAEX)"|"07:05 CDT"|"Port-au-Prince (PAP/MTPP)"|"-"|"B733 (N626SW)"|"Landed"|"03h06m"|||
7-Apr|"WQ3527"|"El Paso, TX (ELP/KELP)"|"05:45 MDT"|"Brownsville, TX (BRO/KBRO)"|"-"|"B734 (N458UW)"|"Landed"|"01h33m"|||
7-Apr|"WQ3548"|"Alexandria, LA (AEX/KAEX)"|"06:00 CDT"|"Santo Domingo (SDQ/MDSD)"|"-"|"B734 (N441US)"|"Landed 12:27 AST"|"03h14m"|||
7-Apr|"WQ404"|"Miami, FL (MIA/KMIA)"|"07:00 EDT"|"Santo Domingo (SDQ/MDSD)"|"-"|"B733 (N811TJ)"|"Landed 09:02 AST"|"01h45m"|||
7-Apr|"WQ3532"|"Brownsville, TX (BRO/KBRO)"|"06:00 CDT"|"Toledo, OH (TOL/KTOL)"|"-"|"B734 (N418US)"|"Landed"|"02h51m"|||
7-Apr|"WQ3541"|"Brownsville, TX (BRO/KBRO)"|"04:30 CDT"|"Alexandria, LA (AEX/KAEX)"|"-"|"B733 (N626SW)"|"Landed 06:08 CDT"|"01h10m"|||
7-Apr|"WQ3526"|"San Antonio, TX (SAT/KSAT)"|"04:15 CDT"|"El Paso, TX (ELP/KELP)"|"-"|"B734 (N458UW)"|"Landed 04:53 MDT"|"01h16m"|||
7-Apr|"WQ401"|"San Juan (SJU/TJSJ)"|"01:00 AST"|"Miami, FL (MIA/KMIA)"|"-"|"B733 (N811TJ)"|"Landed 03:23 EDT"|"02h29m"|||
6-Apr|"WQ502"|"Toronto, ON (YYZ/CYYZ)"|"23:00 EDT"|"Miami, FL (MIA/KMIA)"|"-"|"B734 (N440US)"|"Landed 02:32 EDT"|"02h34m"|||
6-Apr|"WQ501"|"Newark, NJ (EWR/KEWR)"|"21:15 EDT"|"Toronto, ON (YYZ/CYYZ)"|"-"|"B734 (N440US)"|"Landed 22:46 EDT"|"01h00m"|||
6-Apr|"WQ400"|"Miami, FL (MIA/KMIA)"|"-"|"San Juan (SJU/TJSJ)"|"-"|"B733 (N811TJ)"|"Landed"|"-"|||
6-Apr|"WQ500"|"Columbus, OH (CMH/KCMH)"|"18:00 EDT"|"Newark, NJ (EWR/KEWR)"|"-"|"B734 (N440US)"|"Landed 20:38 EDT"|"01h06m"|||
6-Apr|"WQ9625"|"-"|"-"|"-"|"-"|"B733 (N625SW)"|"Landed"|"-"|||
6-Apr|"WQ9629"|"-"|"-"|"-"|"-"|"B733 (N629SW)"|"Landed"|"-"|||
6-Apr|"WQ3612"|"Alexandria, LA (AEX/KAEX)"|"16:25 CDT"|"Brownsville, TX (BRO/KBRO)"|"-"|"B733 (N626SW)"|"Landed"|"01h12m"|||
6-Apr|"WQ3519"|"Brownsville, TX (BRO/KBRO)"|"14:40 CDT"|"San Antonio, TX (SAT/KSAT)"|"-"|"B734 (N458UW)"|"Landed 15:05 CDT"|"00h45m"|||
