"Date"|"Flight"|"Departure"|"STD"|"Arrival"|"STA"|"Aircraft"|"Status"|"Duration"
"8 Apr"|" WAL700"|"Charlotte, NC(CLT/KCLT)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N801WA)"|"Landed 18:17 EDT"|"01h26m"
"8 Apr"|" WAL9700"|"Charlotte, NC(CLT/KCLT)"|"15:30 EDT"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 "|"Landed"|"01h27m"
"8 Apr"|" WAL700"|"Basseterre(SKB/TKPK)"|"10:00 AST"|"Charlotte, NC(CLT/KCLT)"|"-"|"MD83 (N801WA)"|"Landed 15:13 EDT"|"04h07m"
"8 Apr"|" WAL9699"|"Miami, FL(MIA/KMIA)"|"05:45 EDT"|"Basseterre(SKB/TKPK)"|"-"|"MD83 (N801WA)"|"Landed"|"02h25m"
"4 Apr"|" WAL9700"|"Charlotte, NC(CLT/KCLT)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N801WA)"|"Landed 19:56 EDT"|"01h26m"
"4 Apr"|" WAL9702"|"Charlotte, NC(CLT/KCLT)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed 19:07 EDT"|"01h23m"
"4 Apr"|" WAL700"|"San Juan(SJU/TJSJ)"|"12:45 AST"|"Charlotte, NC(CLT/KCLT)"|"-"|"MD83 (N801WA)"|"Landed 16:45 EDT"|"03h29m"
"4 Apr"|" WAL701"|"San Juan(SJU/TJSJ)"|"12:00 AST"|"Charlotte, NC(CLT/KCLT)"|"-"|"MD83 (N805WA)"|"Landed 15:42 EDT"|"03h19m"
"4 Apr"|" WAL701"|"Saint Martin(SXM/TNCM)"|"-"|"San Juan(SJU/TJSJ)"|"-"|"MD83 (N805WA)"|"Landed"|"-"
"4 Apr"|" WAL700"|"Bridgetown(BGI/TBPB)"|"-"|"San Juan(SJU/TJSJ)"|"-"|"MD83 (N801WA)"|"Landed"|"-"
"4 Apr"|" WAL9701"|"Miami, FL(MIA/KMIA)"|"06:00 EDT"|"Saint Martin(SXM/TNCM)"|"-"|"MD83 (N805WA)"|"Landed 08:22 AST"|"02h15m"
"4 Apr"|" WAL9701"|"Miami, FL(MIA/KMIA)"|"-"|"Bridgetown(BGI/TBPB)"|"-"|"MD83 (N801WA)"|"Landed 08:30 AST"|"03h03m"
"4 Apr"|" WAL9699"|"Miami, FL(MIA/KMIA)"|"05:00 EDT"|"Bridgetown(BGI/TBPB)"|"-"|"MD83 "|"Landed"|"03h32m"
"28 Mar"|" WAL9701"|"Charlotte, NC(CLT/KCLT)"|"19:00 EDT"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N801WA)"|"Landed 22:28 EDT"|"01h30m"
"28 Mar"|" WAL700"|"Saint Martin(SXM/TNCM)"|"13:00 AST"|"Charlotte, NC(CLT/KCLT)"|"-"|"MD83 (N801WA)"|"Landed 18:35 EDT"|"05h39m"
"28 Mar"|" WAL700"|"Bridgetown(BGI/TBPB)"|"-"|"-"|"-"|"MD83 (N801WA)"|"Landed"|"-"
