Date,Flight,Departure,STD,Arrival,STA,Aircraft,Status,Duration,Unnamed: 9,Airline,ArrivalLoc,ArrivalIATA,ArrivalICAO,DepartureLoc,DepartureIATA,DepartureICAO
2020-01-16,WQ3516,Guatemala City (GUA/MGGT),,"Phoenix, AZ (AZA/KIWA)",,B733,Landed,04h06m,,SwiftAir/iAero,"Phoenix, AZ",AZA,KIWA,Guatemala City,GUA,MGGT
2020-01-16,WQ3548,Guatemala City (GUA/MGGT),10:00 CST,"Alexandria, LA (AEX/KAEX)",,B738,Landed,02h35m,,SwiftAir/iAero,"Alexandria, LA",AEX,KAEX,Guatemala City,GUA,MGGT
2020-01-16,WQ3547,"Alexandria, LA (AEX/KAEX)",06:05 CST,Guatemala City (GUA/MGGT),,B738 (N624XA),Landed,02h33m,,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-01-16,WQ3243,"El Paso, TX (ELP/KELP)",07:25 MST,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,03h23m,,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-01-17,WQ3508,Guatemala City (GUA/MGGT),13:10 CST,"Phoenix, AZ (AZA/KIWA)",,B733 (N529AU),Landed,04h11m,,SwiftAir/iAero,"Phoenix, AZ",AZA,KIWA,Guatemala City,GUA,MGGT
2020-01-17,WQ3507,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,04h02m,,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-01-17,WQ3600,"Alexandria, LA (AEX/KAEX)",08:15 CST,Guatemala City (GUA/MGGT),,B738,Landed,02h32m,,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
2020-01-17,WQ3601,Guatemala City (GUA/MGGT),12:10 CST,"Alexandria, LA (AEX/KAEX)",,B738 (N624XA),Landed 15:01 CST,02h51m,,SwiftAir/iAero,"Alexandria, LA",AEX,KAEX,Guatemala City,GUA,MGGT
2020-01-20,WQ3540,"El Paso, TX (ELP/KELP)",07:25 MST,Guatemala City (GUA/MGGT),,B733 (N626SW),Landed,03h19m,,SwiftAir/iAero,Guatemala City,GUA,MGGT,"El Paso, TX",ELP,KELP
2020-01-20,WQ3541,Guatemala City (GUA/MGGT),,"Brownsville, TX (BRO/KBRO)",,B733 (N626SW),Landed,,,SwiftAir/iAero,"Brownsville, TX",BRO,KBRO,Guatemala City,GUA,MGGT
2020-01-22,WQ3505,Guatemala City (GUA/MGGT),13:50 CST,"Phoenix, AZ (AZA/KIWA)",,B733,Landed,04h22m,,SwiftAir/iAero,"Phoenix, AZ",AZA,KIWA,Guatemala City,GUA,MGGT
2020-01-22,WQ3504,"Phoenix, AZ (AZA/KIWA)",07:00 MST,Guatemala City (GUA/MGGT),,B733 (N529AU),Landed,03h45m,,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Phoenix, AZ",AZA,KIWA
2020-01-23,WQ3530,Guatemala City (GUA/MGGT),16:00 CST,"Miami, FL (MIA/KMIA)",,B738 (N276EA),Landed 21:07 EST,02h59m,,SwiftAir/iAero,"Miami, FL",MIA,KMIA,Guatemala City,GUA,MGGT
2020-01-23,WQ3518,Guatemala City (GUA/MGGT),13:10 CST,"El Paso, TX (ELP/KELP)",,B733 (N531AU),Landed 18:31 MST,03h42m,,SwiftAir/iAero,"El Paso, TX",ELP,KELP,Guatemala City,GUA,MGGT
2020-01-23,WQ3552,"Alexandria, LA (AEX/KAEX)",06:05 CST,Guatemala City (GUA/MGGT),,B738 (N820TJ),Landed,02h35m,,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Alexandria, LA",AEX,KAEX
