,Date,Flight,Departure,STD,Arrival,STA,Aircraft,Status,Duration,Unnamed: 9,Airline,ArrivalLoc,ArrivalIATA,ArrivalICAO,DepartureLoc,DepartureIATA,DepartureICAO
0,2020-04-16, WQ3572,"Brownsville, TX(BRO/KBRO)",17:20 CDT,"Alexandria, LA(AEX/KAEX)",,B734 (N430XA),Landed,01h10m, ,SwiftAir/iAero,"Alexandria, LA",AEX,KAEX,"Brownsville, TX",BRO,KBRO
1,2020-04-16, WQ3511,,,,,B734 (N441US),Status N/A,, ,SwiftAir/iAero,,,,,,
2,2020-04-16, WQ3510,"Miami, FL(MIA/KMIA)",,"Columbus, GA(CSG/KCSG)",,B734 (N441US),Status N/A,, ,SwiftAir/iAero,"Columbus, GA",CSG,KCSG,"Miami, FL",MIA,KMIA
3,2020-04-16, WQ3569,"Alexandria, LA(AEX/KAEX)",06:30 CDT,"Minneapolis, MN(MSP/KMSP)",,B734 (N430XA),Landed 08:51 CDT,02h12m, ,SwiftAir/iAero,"Minneapolis, MN",MSP,KMSP,"Alexandria, LA",AEX,KAEX
4,2020-04-16, WQ3570,"Minneapolis, MN(MSP/KMSP)",,"Omaha, NE(OMA/KOMA)",,B734 (N430XA),Landed 10:38 CDT,00h50m, ,SwiftAir/iAero,"Omaha, NE",OMA,KOMA,"Minneapolis, MN",MSP,KMSP
5,2020-04-16, WQ3513,"Alexandria, LA(AEX/KAEX)",11:05 CDT,"Brownsville, TX(BRO/KBRO)",,B734 ,Landed,01h15m, ,SwiftAir/iAero,"Brownsville, TX",BRO,KBRO,"Alexandria, LA",AEX,KAEX
6,2020-04-16, WQ3511,"Columbus, GA(CSG/KCSG)",09:40 EDT,"Alexandria, LA(AEX/KAEX)",,B734 (N441US),Landed,01h19m, ,SwiftAir/iAero,"Alexandria, LA",AEX,KAEX,"Columbus, GA",CSG,KCSG
7,2020-04-16, WQ3571,"Omaha, NE(OMA/KOMA)",12:10 CDT,"Kansas City, MO(MCI/KMCI)",,B734 (N430XA),Landed 12:06 CDT,00h29m, ,SwiftAir/iAero,"Kansas City, MO",MCI,KMCI,"Omaha, NE",OMA,KOMA
8,2020-04-16, WQ3514,"Brownsville, TX(BRO/KBRO)",13:40 CDT,"Miami, FL(MIA/KMIA)",,B734 (N441US),Landed 17:34 EDT,02h12m, ,SwiftAir/iAero,"Miami, FL",MIA,KMIA,"Brownsville, TX",BRO,KBRO
9,2020-04-16, WQ3580,"Kansas City, MO(MCI/KMCI)",13:55 CDT,"Brownsville, TX(BRO/KBRO)",,B734 (N430XA),Landed,02h16m, ,SwiftAir/iAero,"Brownsville, TX",BRO,KBRO,"Kansas City, MO",MCI,KMCI
