,Date,Flight,Departure,STD,Arrival,STA,Aircraft,Status,Duration,Unnamed: 9,Airline,ArrivalLoc,ArrivalIATA,ArrivalICAO,DepartureLoc,DepartureIATA,DepartureICAO
0,2020-04-27, WQ3555,"Harrisburg, PA(MDT/KMDT)",12:45 EDT,"Brownsville, TX(BRO/KBRO)",,B734 (N430XA),Est. Arrival 15:21 CDT,03h43m,LIVE,SwiftAir/iAero,"Brownsville, TX",BRO,KBRO,"Harrisburg, PA",MDT,KMDT
1,2020-04-27, WQ501,Guatemala City(GUA/MGGT),,"Miami, FL(MIA/KMIA)",,B733 (N811TJ),Est. Arrival 14:17 EDT,02h25m,LIVE,SwiftAir/iAero,"Miami, FL",MIA,KMIA,Guatemala City,GUA,MGGT
2,2020-04-27, WQ3520,"Houston, TX(IAH/KIAH)",08:10 CDT,La Mesa(SAP/MHLM),,B734 (N441US),Landed,02h18m, ,SwiftAir/iAero,La Mesa,SAP,MHLM,"Houston, TX",IAH,KIAH
3,2020-04-27, WQ3554,"Alexandria, LA(AEX/KAEX)",08:00 CDT,"Harrisburg, PA(MDT/KMDT)",,B734 (N430XA),Landed 11:29 EDT,02h22m, ,SwiftAir/iAero,"Harrisburg, PA",MDT,KMDT,"Alexandria, LA",AEX,KAEX
4,2020-04-27, WQ500,"Miami, FL(MIA/KMIA)",07:00 EDT,Guatemala City(GUA/MGGT),,B733 (N811TJ),Landed,02h41m, ,SwiftAir/iAero,Guatemala City,GUA,MGGT,"Miami, FL",MIA,KMIA
5,2020-04-27, WQ3518,"Miami, FL(MIA/KMIA)",05:20 EDT,"Houston, TX(IAH/KIAH)",,B734 (N441US),Landed,02h25m, ,SwiftAir/iAero,"Houston, TX",IAH,KIAH,"Miami, FL",MIA,KMIA
6,2020-04-26, WQ401,San Juan(SJU/TJSJ),10:00 AST,"Miami, FL(MIA/KMIA)",,B733 (N811TJ),Landed 12:16 EDT,02h16m, ,SwiftAir/iAero,"Miami, FL",MIA,KMIA,San Juan,SJU,TJSJ
7,2020-04-26, WQ9627,"Greensboro, NC(GSO/KGSO)",,"San Antonio, TX(SAT/KSAT)",,B733 (N627SW),Landed 18:35 CDT,02h50m, ,SwiftAir/iAero,"San Antonio, TX",SAT,KSAT,"Greensboro, NC",GSO,KGSO
8,2020-04-26, WQ400,"Miami, FL(MIA/KMIA)",06:00 EDT,San Juan(SJU/TJSJ),,B733 (N811TJ),Landed 08:46 AST,02h12m, ,SwiftAir/iAero,San Juan,SJU,TJSJ,"Miami, FL",MIA,KMIA
9,2020-04-26, WQ9701,"Miami, FL(MIA/KMIA)",14:00 EDT,"Miami, FL(MIA/KMIA)",,B734 (N440US),Landed 15:36 EDT,01h28m, ,SwiftAir/iAero,"Miami, FL",MIA,KMIA,"Miami, FL",MIA,KMIA
10,2020-04-26, WQ9702,"Alexandria, LA(AEX/KAEX)",13:00 CDT,"Miami, FL(MIA/KMIA)",,B734 (N538CC),Landed 16:23 EDT,02h25m, ,SwiftAir/iAero,"Miami, FL",MIA,KMIA,"Alexandria, LA",AEX,KAEX
11,2020-04-25, WQ3530,San Juan(SJU/TJSJ),14:35 AST,"Phoenix, AZ(AZA/KIWA)",,B738 (N820TJ),Landed 18:19 MST,06h27m, ,SwiftAir/iAero,"Phoenix, AZ",AZA,KIWA,San Juan,SJU,TJSJ
12,2020-04-25, WQ9701,"Miami, FL(MIA/KMIA)",07:00 EDT,Oranjestad(AUA/TNCA),,B738 (N624XA),Landed 09:38 AST,02h23m, ,SwiftAir/iAero,Oranjestad,AUA,TNCA,"Miami, FL",MIA,KMIA
13,2020-04-25, WQ3529,"Belo Horizonte, MG(CNF/SBCF)",,San Juan(SJU/TJSJ),,B738 (N820TJ),Landed 13:16 AST,, ,SwiftAir/iAero,San Juan,SJU,TJSJ,"Belo Horizonte, MG",CNF,SBCF
14,2020-04-25, WQ2019,"Bozeman, MT(BZN/KBZN)",12:00 MDT,"White Plains, NY(HPN/KHPN)",,B734 (N807TJ),Landed 18:01 EDT,03h47m, ,SwiftAir/iAero,"White Plains, NY",HPN,KHPN,"Bozeman, MT",BZN,KBZN
15,2020-04-25, WQ902,Willemstad(CUR/TNCC),,"Miami, FL(MIA/KMIA)",,B738 (N624XA),Landed 18:09 EDT,02h24m, ,SwiftAir/iAero,"Miami, FL",MIA,KMIA,Willemstad,CUR,TNCC
16,2020-04-25, WQ9721,"Alexandria, LA(AEX/KAEX)",16:45 CDT,"Phoenix, AZ(AZA/KIWA)",,B733 (N529AU),Landed 17:12 MST,02h40m, ,SwiftAir/iAero,"Phoenix, AZ",AZA,KIWA,"Alexandria, LA",AEX,KAEX
17,2020-04-25, WQ9701,"White Plains, NY(HPN/KHPN)",19:31 EDT,"Greensboro, NC(GSO/KGSO)",,B734 (N807TJ),Landed 20:24 EDT,01h25m, ,SwiftAir/iAero,"Greensboro, NC",GSO,KGSO,"White Plains, NY",HPN,KHPN
18,2020-04-25, WQ9722,"Phoenix, AZ(AZA/KIWA)",18:42 MST,"Alexandria, LA(AEX/KAEX)",,B734 (N538CC),Landed,02h17m, ,SwiftAir/iAero,"Alexandria, LA",AEX,KAEX,"Phoenix, AZ",AZA,KIWA
19,2020-04-24, WQ405,Santo Domingo(SDQ/MDSD),11:00 AST,"Miami, FL(MIA/KMIA)",,B733 (N811TJ),Landed 12:32 EDT,01h53m, ,SwiftAir/iAero,"Miami, FL",MIA,KMIA,Santo Domingo,SDQ,MDSD
20,2020-04-24, WQ401,San Juan(SJU/TJSJ),02:55 AST,"Miami, FL(MIA/KMIA)",,B733 (N811TJ),Landed 05:26 EDT,02h25m, ,SwiftAir/iAero,"Miami, FL",MIA,KMIA,San Juan,SJU,TJSJ
21,2020-04-24, WQ3528,San Juan(SJU/TJSJ),06:25 AST,"Belo Horizonte, MG(CNF/SBCF)",,B738 (N820TJ),Landed 14:20 BRT,05h56m, ,SwiftAir/iAero,"Belo Horizonte, MG",CNF,SBCF,San Juan,SJU,TJSJ
22,2020-04-24, WQ3562,"Alexandria, LA(AEX/KAEX)",05:45 CDT,"Brownsville, TX(BRO/KBRO)",,B734 (N285XA),Landed,01h12m, ,SwiftAir/iAero,"Brownsville, TX",BRO,KBRO,"Alexandria, LA",AEX,KAEX
23,2020-04-24, WQ404,"Miami, FL(MIA/KMIA)",07:00 EDT,Santo Domingo(SDQ/MDSD),,B733 (N811TJ),Landed 09:04 AST,01h53m, ,SwiftAir/iAero,Santo Domingo,SDQ,MDSD,"Miami, FL",MIA,KMIA
24,2020-04-24, WQ3513,"El Paso, TX(ELP/KELP)",06:00 MDT,"Alexandria, LA(AEX/KAEX)",,B733 (N529AU),Landed,01h33m, ,SwiftAir/iAero,"Alexandria, LA",AEX,KAEX,"El Paso, TX",ELP,KELP
25,2020-04-24, WQ3580,"Alexandria, LA(AEX/KAEX)",08:00 CDT,"Jacksonville, FL(JAX/KJAX)",,B734 (N430XA),Landed 10:26 EDT,01h20m, ,SwiftAir/iAero,"Jacksonville, FL",JAX,KJAX,"Alexandria, LA",AEX,KAEX
26,2020-04-24, WQ3546,"Brownsville, TX(BRO/KBRO)",08:00 CDT,"Gary, IN(GYY/KGYY)",,B734 (N418US),Landed 10:48 CDT,02h39m, ,SwiftAir/iAero,"Gary, IN",GYY,KGYY,"Brownsville, TX",BRO,KBRO
27,2020-04-24, WQ3558,"San Antonio, TX(SAT/KSAT)",08:10 CDT,"Brownsville, TX(BRO/KBRO)",,B734 ,Landed,00h40m, ,SwiftAir/iAero,"Brownsville, TX",BRO,KBRO,"San Antonio, TX",SAT,KSAT
