ICAOCode,LatitudeDecimalDegrees,LongitudeDecimalDegrees
DAAG,36.691,3.215
DFFD,12.353,-1.5119999999999998
DGAA,5.603,-0.168
DIAP,5.26,-3.926
DNMM,6.577000000000001,3.321
DRRN,13.481,2.184
DXXX,6.166,1.254
EDDF,50.026,8.543
EGGW,51.873999999999995,-0.368
EGSS,51.885,0.235
EPWA,52.166000000000004,20.967
FALA,-25.938000000000002,27.926
FCBB,-4.252,15.253
FGSL,3.755,8.709
FKKD,4.006,9.719
FOOL,0.45799999999999996,9.412
FTTJ,12.134,15.034
FVHA,-17.932000000000002,31.093000000000004
FZAA,-4.386,15.444
GABS,12.533,-7.95
GBYD,13.338,-16.652
GFLL,8.616,-13.195
GLRB,6.234,-10.362
GMMN,33.368,-7.587999999999999
GOOY,14.739,-17.49
GVAC,16.741,-22.949
HAAB,8.977,38.8
HBBA,-3.324,29.318
HCMM,2.0140000000000002,45.305
HECA,30.122,31.406
HRYR,-1.969,30.139
HSSJ,4.872,31.601
HSSS,15.589,32.553000000000004
HTDA,-6.877999999999999,39.203
HUEN,0.042,32.443000000000005
KABI,32.411,-99.682
KAEX,31.326999999999998,-92.54799999999999
KALB,42.748000000000005,-73.803
KATL,33.64,-84.427
KAUS,30.194000000000003,-97.67
KBDL,41.93899999999999,-72.683
KBED,42.47,-71.289
KBFI,47.53,-122.302
KBFL,35.433,-119.057
KBLV,38.545,-89.835
KBNA,36.124,-86.678
KBOI,43.56399999999999,-116.223
KBOS,42.364,-71.005
KBRO,25.906999999999996,-97.426
KBUF,42.94,-78.732
KBWI,39.175,-76.668
KCHS,32.899,-80.04
KCLE,41.412,-81.85
KCLT,35.214,-80.943
KCMH,39.998000000000005,-82.89200000000001
KCOS,38.806,-104.7
KCRP,27.77,-97.501
KCVG,39.046,-84.662
KDAL,32.847,-96.852
KDEN,39.858000000000004,-104.667
KDFW,32.896,-97.037
KDTW,42.211999999999996,-83.353
KELP,31.807,-106.37799999999999
KEWR,40.692,-74.169
KFTW,32.82,-97.36200000000001
KGFK,47.949,-97.176
KGRK,31.066999999999997,-97.829
KHRL,26.228,-97.654
KHST,25.488000000000003,-80.384
KIAD,38.944,-77.456
KIAG,43.107,-78.946
KIAH,29.98,-95.34
KJAX,30.494,-81.688
KLAS,36.08,-115.152
KLIT,34.729,-92.22399999999999
KLRD,27.544,-99.461
KMCI,39.297,-94.714
KMDT,40.193000000000005,-76.763
KMDW,41.786,-87.75200000000001
KMEM,35.042,-89.977
KMHR,38.554,-121.29700000000001
KMIA,25.793000000000003,-80.291
KMSP,44.88,-93.21700000000001
KNJK,32.829,-115.67200000000001
KNTD,34.12,-119.12100000000001
KOAK,37.721,-122.221
KOMA,41.302,-95.89399999999999
KONT,34.056,-117.601
KOPF,25.906999999999996,-80.278
KORD,41.979,-87.904
KPAE,47.906000000000006,-122.281
KPDX,45.589,-122.59700000000001
KRIC,37.505,-77.319
KRNO,39.498000000000005,-119.76799999999999
KROW,33.301,-104.531
KSAN,32.733000000000004,-117.189
KSAT,29.534000000000002,-98.47
KSKF,29.384,-98.581
KSLC,40.788000000000004,-111.978
KSMF,38.695,-121.59100000000001
KSTL,38.748000000000005,-90.36
KTEB,40.85,-74.061
KTUS,32.116,-110.941
KVCV,34.593,-117.37899999999999
KYIP,42.238,-83.53
KYNG,41.261,-80.679
LATI,41.415,19.721
LEMD,40.472,-3.5610000000000004
LFPB,48.968999999999994,2.441
LHBP,47.437,19.256
LIRA,41.799,12.595
LKPR,50.101000000000006,14.26
LLBG,32.009,34.876999999999995
LPPD,37.741,-25.698
LQSA,43.824,18.331
LRBS,44.503,26.101999999999997
LROP,44.574,26.103
LTBA,40.977,28.820999999999998
LUKK,46.928000000000004,28.930999999999997
LWSK,41.961000000000006,21.621
LYBE,44.818000000000005,20.309
LYPG,42.358999999999995,19.252
LZIB,48.17,17.212
MDSD,18.429000000000002,-69.669
MGGT,14.583,-90.52799999999999
MHLM,15.452,-87.92299999999999
MHTG,14.061,-87.21700000000001
MKJP,17.936,-76.78699999999999
MMMD,20.936999999999998,-89.65700000000001
MMMX,19.436,-99.072
MNMG,12.140999999999998,-86.16799999999999
MPTO,9.071,-79.383
MSLP,13.440999999999999,-89.056
MTPP,18.58,-72.293
MUHA,22.989,-82.40899999999999
MYNN,25.039,-77.46600000000001
MZBZ,17.539,-88.30799999999999
NFTF,-21.241,-175.15
NSFA,-13.83,-172.00799999999998
NZWN,-41.327,174.805
OAKB,34.566,69.212
OJAI,31.721999999999998,35.993
OJAM,31.971999999999998,35.991
OLBA,33.813,35.489000000000004
OPRN,33.616,73.09899999999999
PHNL,21.316,-157.92700000000002
PKMJ,7.065,171.27200000000002
RCTP,25.08,121.23200000000001
RPLL,14.509,121.01899999999999
SBBR,-15.862,-47.913000000000004
SBCF,-19.634,-43.968999999999994
SBGR,-23.432,-46.468999999999994
SEGU,-2.158,-79.884
SKBO,4.7010000000000005,-74.14699999999999
SLLP,-16.512999999999998,-68.192
SLVR,-17.645,-63.135
SMJP,5.452999999999999,-55.188
SUMU,-34.838,-56.03
TAPA,17.137,-61.792
TBPB,13.074000000000002,-59.492
TDPD,15.547,-61.3
TGPY,12.004000000000001,-61.786
TIST,18.337,-64.973
TJBQ,18.495,-67.12899999999999
TJSJ,18.439,-66.002
TKPK,17.311,-62.718999999999994
TLPL,13.732999999999999,-60.953
TTPP,10.595,-61.336999999999996
TVSC,12.699000000000002,-61.342
TVSV,13.144,-61.211000000000006
UKBB,50.345,30.895
UKKK,50.402,30.451999999999998
UTDD,38.543,68.825
UTTT,41.257,69.282
UUEE,55.972,37.415
UUWW,55.591,37.260999999999996
UWKD,55.608000000000004,49.277
VCBI,7.181,79.884
VDPP,11.546,104.844
VIDP,28.566,77.10300000000001
VNKT,27.695999999999998,85.359
VVTS,10.82,106.662
VYYY,16.907,96.133
YSSY,-33.946,151.17700000000002
ZBAA,40.08,116.584
ZSFZ,25.933000000000003,119.662
BKPR,42.572778,21.035833
EYVI,54.63694399999999,25.287778
FKYS,3.7225,11.553333
FYWH,-22.486667,17.4625
GQNO,18.31,-15.969722
GUCY,9.576889,-13.611960999999999
GVNP,14.9242,-23.4939
HKJK,-1.318611,36.925833000000004
KCSG,32.5163333,-84.9388611
KGYY,41.616389,-87.412778
KIWA,33.3078333,-111.6554722
