"Code","Status","Note","Source"
"1A","Voluntary Departure – Un-Expired and Un-Extended Voluntary Departure.","This code covers detainees granted voluntary departure who have not overstayed the period of voluntary departure. ","Kerwin et al., 2015"
"1B","Voluntary Departure - Extended Departure Period","[This code] covers persons whose voluntary departure period has been extended. ","ICE ERO"
"1C","Exipred Voluntary Departure Period - Referred to Investigation","[This code] covers persons who overstayed their voluntary departure period.","ICE ERO"
"2A","Deportable – Under Adjudication by IJ","This code covers detainees in pending deportation proceedings.","Kerwin et al., 2015"
"2B","Deportable – Under Adjudication by BIA","This code applies to detainees who are appealing their removal orders to the Board of Immigration Appeals (BIA).","Kerwin et al., 2015"
"3","Deportable – Administratively Final Order","This code covers detainees with a final order of removal, including those pursuing petitions for review in federal court.8 The dataset lists 102 persons in this category who do not have a final order. This logical impossibility might best be explained by simple error.","Kerwin et al., 2015"
"5A","Referred for Investigation - No Show for Hearing - No Final O...","Need to confirm full description, cut off in screengrab.","ICE ERO"
"5B","Removable – ICE Fugitive","This code covers detainees who were ordered removed via normal removal proceedings and subsequently absconded and were rearrested.","Kerwin et al., 2015"
"5C","Relief Granted – Withholding of Deportation/Removal","This code covers detainees granted withholding of removal.","Kerwin et al., 2015"
"5D","Final Order of Deportation/Removal – Deferred Action Granted.","This code applies to detainees granted deferred action.","Kerwin et al., 2015"
"5E","Relief Granted – Extended Voluntary Departure","This code covers detainees granted extended voluntary departure.9","Kerwin et al., 2015"
"5F","Unable to Obtain Travel Document","This code covers detainees ordered removed for whom a travel document cannot be obtained.","Kerwin et al., 2015"
"8A","Excludable/Inadmissible – Hearing Not Commenced","This code covers detainees who have been served with a Notice to Appear (NTA) for removal proceedings, but whose NTAs have not yet been lodged with an immigration court or whose master calendar (preliminary removal) hearings have not yet taken place.","Kerwin et al., 2015"
"8B","Excludable/Inadmissible – Under Adjudication by an Immigration Judge.","This code covers detainees whose removal proceedings are pending, but who did not lawfully enter after 'inspection and authorization.'","Kerwin et al., 2015"
"8C","Excludable/Inadmissible – Administrative Final Order Issued.","This code covers detainees who received a final order, including those pursuing a petition for review in federal court. This category included 160 persons who did not receive a final order, which appears to be another mistake.","Kerwin et al., 2015"
"8D","Excludable/Inadmissible – Under Adjudication by BIA","This code covers detainees whose appeals of removal orders are pending with the BIA.","Kerwin et al., 2015"
"8E","Inadmissible – ICE Fugitive","This code covers detainees who were ordered removed based on a ground of inadmissibility, and who absconded and were rearrested.","Kerwin et al., 2015"
"8F","Expedited Removal","This code applies to detainees in expedited removal who are not referred for a credible fear interview, both those with and without a final order of removal.","Kerwin et al., 2015"
"8G","Expedited Removal – Credible Fear Referral","This code applies to detainees in expedited removal who were referred for credible fear interviews. While cases are supposed to remain in the [8G] category until they receive political asylum or a final order of removal, 1,244 cases in this category had received a removal order. In 71 instances, there is no indication whether the detainee had been ordered removedor not.","Kerwin et al., 2015"
"8H","Expedited Removal – Status Claim Referral","This code covers detainees who claim to have lawful immigration status and, if so, should not be in expedited removal.","Kerwin et al., 2015"
"8I","Inadmissible – ICE Fugitive – Expedited Removal","This code covers detainees in the expedited removal process who absconded after a credible fear interview.","Kerwin et al., 2015"
"9","VR Under Safeguards","This code applies to detainees granted voluntary departure who are being held in custody until they are repatriated.","Kerwin et al., 2015"
"10","Visa Waiver Deportation/Removal","This code covers detainees from visa waiver countries who waived their right to contest removal.10","Kerwin et al., 2015"
"11","Administrative Deportation/Removal","This code covers detainees subject to 'administrative' removal because they are alleged to have committed an aggravated felony and not to be LPRs.11 Some persons in this category may be eligible for a 'reasonable fear' interview by an asylum officer to determine whether they will be referred to an immigration court to seek withholding of removal.12","Kerwin et al., 2015"
"12","Judicial Deportation / Removal","This code covers detainees who were ordered deported by a federal judge in criminal proceedings.13","Kerwin et al., 2015"
"13","Section 250 Removal","This code covers indigent detainees who seek to be removed at the government’s expense.14","Kerwin et al., 2015"
"14","Crewman, Stowaways, S-Visa Holders, 235 (c) cases","This code covers detainees who were crewman, stowaways, criminal or terrorist informants, or persons ordered removed on security and related grounds.","Kerwin et al., 2015"
"15","Terrorist Court Case (Title 5)","","ICE ERO"
"16","Reinstated Final Order","This code covers persons who were ordered removed or who departed voluntarily while under a removal order, and who illegally reentered. It also applies to persons subject to reinstatement of removal who request political asylum and, as a result, are eligible for a 'reasonable fear' screening.","Kerwin et al., 2015"
